dataset,algorithm,train_acc_mean,train_reject_mean,train_grader_kappa_mean,test_acc_mean,test_reject_mean,test_grader_kappa_mean
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-dt-ternary,0.98599090,0.32577490,0.38087365,0.86891704,0.34586895,0.21153578
bench,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99594266,0.00000000,0.03327494,0.80309524,0.00000000,0.09912513
gamma,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.95127585,0.00000000,0.57527877,0.87631966,0.00000000,0.35819861
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99742248,0.00000000,0.23272952,0.95535088,0.00000000,0.30535276
parkns,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99851883,0.00000000,0.03479231,0.91084211,0.00000000,0.20248995
blood,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.82100458,0.00000000,0.36153542,0.78530450,0.00000000,0.21052868
car,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99848243,0.00000000,0.86528282,0.98321683,0.00000000,0.78600892
haber,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.77661291,0.00000000,0.33405581,0.74959140,0.00000000,0.19415026
iono,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.97442254,0.00000000,0.82200204,0.91914286,0.00000000,0.24049318
letter,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99766000,0.00000000,0.73517750,0.95623000,0.00000000,0.71060229
page,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.99108351,0.00000000,0.69606038,0.97230201,0.00000000,0.41880409
spam,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.98995871,0.00000000,0.44901151,0.94814222,0.00000000,0.32460642
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-grey-binary,0.97345021,0.00000000,0.90557209,0.80056980,0.00000000,0.29084416
bench,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99390732,0.35022016,0.03813745,0.82522564,0.32400000,0.10793140
gamma,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.97033344,0.19359855,0.45635441,0.91067495,0.19849632,0.27605880
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99953683,0.07557162,0.21582973,0.96633909,0.08538221,0.28245595
parkns,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99824291,0.15008701,0.03300446,0.93300436,0.14152632,0.22805684
blood,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.88490632,0.22807276,0.31551805,0.83235740,0.24154955,0.14944929
car,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99845080,0.02139971,0.80539339,0.98583737,0.02754335,0.71820799
haber,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.87548912,0.23915178,0.32203639,0.79951309,0.24643011,0.14358930
iono,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99979135,0.08008760,0.77270956,0.92499916,0.06557143,0.21126452
letter,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99721401,0.16187778,0.54351120,0.97279127,0.16770000,0.55703225
page,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99807904,0.03198731,0.61511622,0.98245216,0.03888169,0.38118601
spam,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.98940990,0.09470918,0.38730649,0.95897361,0.10123559,0.28362279
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-grey-double,0.99708310,0.21697441,0.71552558,0.86339909,0.20008547,0.25336426
bench,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99312317,0.34253271,0.03502145,0.84740831,0.35547619,0.11410793
gamma,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.98463524,0.20409861,0.47580749,0.91335387,0.23674027,0.23176434
brst-w,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99966613,0.06518336,0.23877102,0.96495096,0.09167920,0.24149643
parkns,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99934978,0.14346948,0.03862983,0.91876128,0.16068421,0.18083840
blood,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.92669286,0.23395554,0.49101756,0.82057048,0.26584144,0.12244704
car,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99835179,0.01866028,0.81269841,0.98009917,0.02800712,0.67356253
haber,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.93849017,0.27233412,0.53316042,0.77466880,0.27726882,0.06685260
iono,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99979210,0.08186096,0.76335425,0.92010217,0.13341270,0.11918248
letter,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99774576,0.15791667,0.54289138,0.97443798,0.16609000,0.55135599
page,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99824769,0.03403770,0.58429560,0.98385172,0.05382798,0.33301965
spam,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99521827,0.10185251,0.36210642,0.95890117,0.13162162,0.22323731
sp-hrt,GB_Prio_5xInf15_decision_tree-xgboost-grey-ternary,0.99906931,0.19616459,0.75990802,0.85671233,0.23658120,0.22912196
