Dataset:     Concrete Compressive Strength
33.06             1 (0.10%)
33.08             1 (0.10%)
33.09             1 (0.10%)
33.12             1 (0.10%)
33.19             1 (0.10%)
33.21             1 (0.10%)
33.27             1 (0.10%)
33.3              1 (0.10%)
33.31             1 (0.10%)
33.36             1 (0.10%)
33.4              6 (0.58%)
33.42             2 (0.19%)
33.49             1 (0.10%)
33.54             1 (0.10%)
33.56             1 (0.10%)
33.61             1 (0.10%)
33.66             1 (0.10%)
33.69             2 (0.19%)
33.7              2 (0.19%)
33.72             2 (0.19%)
33.73             2 (0.19%)
33.76             2 (0.19%)
33.8              3 (0.29%)
33.94             1 (0.10%)
33.95             1 (0.10%)
33.96             1 (0.10%)
34.2              1 (0.10%)
34.24             1 (0.10%)
34.29             1 (0.10%)
34.4              1 (0.10%)
34.49             1 (0.10%)
34.56             1 (0.10%)
34.57             1 (0.10%)
34.67             1 (0.10%)
34.68             1 (0.10%)
34.74             1 (0.10%)
34.77             1 (0.10%)
34.9              1 (0.10%)
35.08             1 (0.10%)
35.1              1 (0.10%)
35.17             1 (0.10%)
35.23             3 (0.29%)
35.3              4 (0.39%)
35.31             1 (0.10%)
35.34             2 (0.19%)
35.36             1 (0.10%)
35.57             1 (0.10%)
35.75             1 (0.10%)
35.76             1 (0.10%)
35.85             1 (0.10%)
35.86             1 (0.10%)
35.87             1 (0.10%)
35.96             1 (0.10%)
36.15             1 (0.10%)
36.25             1 (0.10%)
36.3              2 (0.19%)
36.35             2 (0.19%)
36.44             2 (0.19%)
36.45             2 (0.19%)
36.56             1 (0.10%)
36.59             1 (0.10%)
36.64             1 (0.10%)
36.8              2 (0.19%)
36.84             1 (0.10%)
36.94             2 (0.19%)
36.96             1 (0.10%)
36.97             1 (0.10%)
36.99             1 (0.10%)
37.17             2 (0.19%)
37.23             1 (0.10%)
37.26             1 (0.10%)
37.27             3 (0.29%)
37.33             1 (0.10%)
37.34             1 (0.10%)
37.36             2 (0.19%)
37.4              1 (0.10%)
37.42             2 (0.19%)
37.43             3 (0.29%)
37.44             1 (0.10%)
37.68             1 (0.10%)
37.72             1 (0.10%)
37.8              1 (0.10%)
37.81             2 (0.19%)
37.91             2 (0.19%)
37.92             2 (0.19%)
37.96             1 (0.10%)
38.0              1 (0.10%)
38.02             1 (0.10%)
38.07             1 (0.10%)
38.11             1 (0.10%)
38.2              1 (0.10%)
38.21             1 (0.10%)
38.22             1 (0.10%)
38.33             1 (0.10%)
38.41             1 (0.10%)
38.46             2 (0.19%)
38.5              1 (0.10%)
38.56             1 (0.10%)
38.6              2 (0.19%)
38.61             1 (0.10%)
38.63             1 (0.10%)
38.7              2 (0.19%)
38.77             1 (0.10%)
38.8              1 (0.10%)
38.89             1 (0.10%)
39.0              3 (0.29%)
39.05             1 (0.10%)
39.06             1 (0.10%)
39.09             1 (0.10%)
39.15             1 (0.10%)
39.16             1 (0.10%)
39.23             1 (0.10%)
39.27             1 (0.10%)
39.29             1 (0.10%)
39.3              3 (0.29%)
39.32             1 (0.10%)
39.36             1 (0.10%)
39.38             2 (0.19%)
39.4              1 (0.10%)
39.42             2 (0.19%)
39.44             1 (0.10%)
39.45             1 (0.10%)
39.46             1 (0.10%)
39.49             1 (0.10%)
39.58             1 (0.10%)
39.59             1 (0.10%)
39.6              1 (0.10%)
39.61             1 (0.10%)
39.64             1 (0.10%)
39.66             1 (0.10%)
39.7              2 (0.19%)
39.78             1 (0.10%)
39.84             1 (0.10%)
39.94             1 (0.10%)
40.06             2 (0.19%)
40.15             2 (0.19%)
40.2              1 (0.10%)
40.23             1 (0.10%)
40.27             1 (0.10%)
40.29             1 (0.10%)
40.39             1 (0.10%)
40.56             1 (0.10%)
40.57             1 (0.10%)
40.6              1 (0.10%)
40.66             1 (0.10%)
40.68             1 (0.10%)
40.71             1 (0.10%)
40.76             1 (0.10%)
40.86             3 (0.29%)
40.87             2 (0.19%)
40.93             3 (0.29%)
41.05             4 (0.39%)
41.1              1 (0.10%)
41.15             1 (0.10%)
41.16             1 (0.10%)
41.2              1 (0.10%)
41.24             1 (0.10%)
41.3              1 (0.10%)
41.37             2 (0.19%)
41.41             1 (0.10%)
41.54             3 (0.29%)
41.64             1 (0.10%)
41.67             1 (0.10%)
41.68             2 (0.19%)
41.72             1 (0.10%)
41.84             1 (0.10%)
41.89             1 (0.10%)
41.93             1 (0.10%)
41.94             1 (0.10%)
42.03             1 (0.10%)
42.13             3 (0.29%)
42.14             1 (0.10%)
42.22             1 (0.10%)
42.23             1 (0.10%)
42.29             1 (0.10%)
42.33             1 (0.10%)
42.35             1 (0.10%)
42.42             1 (0.10%)
42.55             1 (0.10%)
42.62             1 (0.10%)
42.64             2 (0.19%)
42.7              1 (0.10%)
42.8              1 (0.10%)
42.92             1 (0.10%)
43.01             1 (0.10%)
43.06             1 (0.10%)
43.25             1 (0.10%)
43.38             2 (0.19%)
43.39             1 (0.10%)
43.5              1 (0.10%)
43.57             2 (0.19%)
43.58             2 (0.19%)
43.7              3 (0.29%)
43.73             1 (0.10%)
43.8              1 (0.10%)
43.89             1 (0.10%)
43.94             1 (0.10%)
44.03             1 (0.10%)
44.09             1 (0.10%)
44.13             1 (0.10%)
44.14             1 (0.10%)
44.21             2 (0.19%)
44.28             3 (0.29%)
44.3              2 (0.19%)
44.33             1 (0.10%)
44.39             1 (0.10%)
44.4              1 (0.10%)
44.42             1 (0.10%)
44.52             3 (0.29%)
44.61             2 (0.19%)
44.64             1 (0.10%)
44.7              1 (0.10%)
44.86             1 (0.10%)
44.87             1 (0.10%)
45.08             2 (0.19%)
45.3              2 (0.19%)
45.37             2 (0.19%)
45.7              1 (0.10%)
45.71             1 (0.10%)
45.84             1 (0.10%)
45.85             1 (0.10%)
45.9              1 (0.10%)
45.94             1 (0.10%)
46.2              1 (0.10%)
46.23             3 (0.29%)
46.24             1 (0.10%)
46.25             1 (0.10%)
46.39             1 (0.10%)
46.64             1 (0.10%)
46.68             2 (0.19%)
46.8              1 (0.10%)
46.9              1 (0.10%)
46.93             1 (0.10%)
47.03             1 (0.10%)
47.1              1 (0.10%)
47.13             1 (0.10%)
47.22             1 (0.10%)
47.28             1 (0.10%)
47.4              1 (0.10%)
47.71             2 (0.19%)
47.74             1 (0.10%)
47.78             1 (0.10%)
47.81             1 (0.10%)
47.82             1 (0.10%)
47.97             1 (0.10%)
48.15             1 (0.10%)
48.28             1 (0.10%)
48.4              1 (0.10%)
48.59             1 (0.10%)
48.67             1 (0.10%)
48.7              1 (0.10%)
48.72             1 (0.10%)
48.79             1 (0.10%)
48.85             1 (0.10%)
48.97             1 (0.10%)
48.99             1 (0.10%)
49.19             1 (0.10%)
49.2              3 (0.29%)
49.25             1 (0.10%)
49.77             2 (0.19%)
49.8              1 (0.10%)
49.9              1 (0.10%)
49.97             1 (0.10%)
49.99             1 (0.10%)
50.08             1 (0.10%)
50.24             1 (0.10%)
50.46             1 (0.10%)
50.51             1 (0.10%)
50.53             1 (0.10%)
50.6              1 (0.10%)
50.66             1 (0.10%)
50.7              1 (0.10%)
50.73             1 (0.10%)
50.77             1 (0.10%)
50.94             1 (0.10%)
50.95             1 (0.10%)
51.02             2 (0.19%)
51.04             2 (0.19%)
51.06             1 (0.10%)
51.26             1 (0.10%)
51.33             1 (0.10%)
51.43             1 (0.10%)
51.72             1 (0.10%)
51.73             1 (0.10%)
51.86             1 (0.10%)
51.96             1 (0.10%)
52.01             1 (0.10%)
52.04             1 (0.10%)
52.12             1 (0.10%)
52.2              2 (0.19%)
52.3              1 (0.10%)
52.42             1 (0.10%)
52.43             1 (0.10%)
52.44             1 (0.10%)
52.45             1 (0.10%)
52.5              1 (0.10%)
52.52             1 (0.10%)
52.61             1 (0.10%)
52.82             1 (0.10%)
52.83             1 (0.10%)
52.91             2 (0.19%)
52.96             1 (0.10%)
53.1              1 (0.10%)
53.3              1 (0.10%)
53.39             1 (0.10%)
53.46             1 (0.10%)
53.52             2 (0.19%)
53.58             1 (0.10%)
53.66             1 (0.10%)
53.69             1 (0.10%)
53.72             1 (0.10%)
53.77             1 (0.10%)
53.9              1 (0.10%)
53.96             1 (0.10%)
54.1              1 (0.10%)
54.28             1 (0.10%)
54.32             1 (0.10%)
54.38             1 (0.10%)
54.6              1 (0.10%)
54.77             1 (0.10%)
54.9              2 (0.19%)
55.02             1 (0.10%)
55.06             1 (0.10%)
55.16             1 (0.10%)
55.2              1 (0.10%)
55.25             1 (0.10%)
55.26             1 (0.10%)
55.45             1 (0.10%)
55.5              1 (0.10%)
55.51             1 (0.10%)
55.55             2 (0.19%)
55.6              1 (0.10%)
55.64             1 (0.10%)
55.65             1 (0.10%)
55.83             1 (0.10%)
55.9              3 (0.29%)
55.94             1 (0.10%)
56.06             1 (0.10%)
56.1              1 (0.10%)
56.14             2 (0.19%)
56.34             1 (0.10%)
56.4              1 (0.10%)
56.5              1 (0.10%)
56.61             1 (0.10%)
56.62             1 (0.10%)
56.63             1 (0.10%)
56.7              1 (0.10%)
56.74             1 (0.10%)
56.81             1 (0.10%)
56.83             1 (0.10%)
56.85             1 (0.10%)
57.03             1 (0.10%)
57.21             1 (0.10%)
57.22             1 (0.10%)
57.23             1 (0.10%)
57.6              1 (0.10%)
57.92             1 (0.10%)
58.52             1 (0.10%)
58.61             1 (0.10%)
58.78             1 (0.10%)
58.8              1 (0.10%)
59.0              1 (0.10%)
59.09             1 (0.10%)
59.2              1 (0.10%)
59.3              1 (0.10%)
59.49             1 (0.10%)
59.59             1 (0.10%)
59.76             1 (0.10%)
59.8              1 (0.10%)
59.89             1 (0.10%)
60.2              1 (0.10%)
60.28             1 (0.10%)
60.29             3 (0.29%)
60.32             1 (0.10%)
60.95             1 (0.10%)
61.07             1 (0.10%)
61.09             1 (0.10%)
61.23             1 (0.10%)
61.24             1 (0.10%)
61.46             1 (0.10%)
61.8              1 (0.10%)
61.86             1 (0.10%)
61.89             1 (0.10%)
61.92             1 (0.10%)
61.99             1 (0.10%)
62.05             1 (0.10%)
62.5              1 (0.10%)
62.94             1 (0.10%)
63.14             1 (0.10%)
63.4              1 (0.10%)
63.53             1 (0.10%)
64.02             1 (0.10%)
64.3              3 (0.29%)
64.9              3 (0.29%)
65.2              3 (0.29%)
65.7              1 (0.10%)
65.91             2 (0.19%)
66.0              1 (0.10%)
66.1              1 (0.10%)
66.42             1 (0.10%)
66.6              1 (0.10%)
66.7              1 (0.10%)
66.78             1 (0.10%)
66.82             1 (0.10%)
66.9              1 (0.10%)
66.95             1 (0.10%)
67.11             1 (0.10%)
67.31             1 (0.10%)
67.57             1 (0.10%)
67.7              1 (0.10%)
67.8              1 (0.10%)
67.87             1 (0.10%)
68.1              1 (0.10%)
68.3              1 (0.10%)
68.5              1 (0.10%)
68.75             1 (0.10%)
69.3              1 (0.10%)
69.66             1 (0.10%)
69.84             1 (0.10%)
70.7              1 (0.10%)
71.3              4 (0.39%)
71.62             1 (0.10%)
71.7              1 (0.10%)
71.99             1 (0.10%)
72.1              1 (0.10%)
72.3              1 (0.10%)
72.99             1 (0.10%)
73.3              1 (0.10%)
73.7              1 (0.10%)
74.17             1 (0.10%)
74.19             1 (0.10%)
74.36             1 (0.10%)
74.5              1 (0.10%)
74.7              1 (0.10%)
74.99             1 (0.10%)
75.5              1 (0.10%)
76.24             1 (0.10%)
76.8              1 (0.10%)
77.3              4 (0.39%)
78.8              1 (0.10%)
79.3              4 (0.39%)
79.4              1 (0.10%)
79.99             1 (0.10%)
80.2              1 (0.10%)
81.75             1 (0.10%)
82.6              1 (0.10%)
