Dataset:     Superconductivty Data
1.017             1 (0.00%)
1.02              5 (0.02%)
1.025             1 (0.00%)
1.03              4 (0.02%)
1.04              6 (0.03%)
1.043             1 (0.00%)
1.05              5 (0.02%)
1.06              6 (0.03%)
1.061             1 (0.00%)
1.07              7 (0.03%)
1.075             2 (0.01%)
1.078             1 (0.00%)
1.08              1 (0.00%)
1.083             1 (0.00%)
1.09              4 (0.02%)
1.095             1 (0.00%)
1.1              19 (0.09%)
1.11              4 (0.02%)
1.12              5 (0.02%)
1.128             1 (0.00%)
1.13              7 (0.03%)
1.132             1 (0.00%)
1.135             1 (0.00%)
1.14              7 (0.03%)
1.15              6 (0.03%)
1.159             1 (0.00%)
1.16              6 (0.03%)
1.163             1 (0.00%)
1.165             1 (0.00%)
1.17              9 (0.04%)
1.172             1 (0.00%)
1.175             1 (0.00%)
1.1793            1 (0.00%)
1.18              6 (0.03%)
1.19              5 (0.02%)
1.2              38 (0.18%)
1.201             1 (0.00%)
1.21              8 (0.04%)
1.22              7 (0.03%)
1.23              4 (0.02%)
1.24              5 (0.02%)
1.242             1 (0.00%)
1.248             1 (0.00%)
1.25             15 (0.07%)
1.26              6 (0.03%)
1.27              7 (0.03%)
1.273             1 (0.00%)
1.275             1 (0.00%)
1.278             1 (0.00%)
1.28              1 (0.00%)
1.29              5 (0.02%)
1.3              41 (0.19%)
1.31              3 (0.01%)
1.32              5 (0.02%)
1.33              2 (0.01%)
1.34              8 (0.04%)
1.35             14 (0.07%)
1.355             1 (0.00%)
1.36              9 (0.04%)
1.365             1 (0.00%)
1.37              6 (0.03%)
1.378             1 (0.00%)
1.38             13 (0.06%)
1.39              6 (0.03%)
1.398             1 (0.00%)
1.4              45 (0.21%)
1.402             1 (0.00%)
1.41              4 (0.02%)
1.414             1 (0.00%)
1.415             1 (0.00%)
1.42              8 (0.04%)
1.425             1 (0.00%)
1.43              6 (0.03%)
1.44              6 (0.03%)
1.445             1 (0.00%)
1.449             1 (0.00%)
1.45             11 (0.05%)
1.46              5 (0.02%)
1.468             1 (0.00%)
1.47              3 (0.01%)
1.48             10 (0.05%)
1.489             1 (0.00%)
1.49             10 (0.05%)
1.5              44 (0.21%)
1.505             1 (0.00%)
1.506             1 (0.00%)
1.51              6 (0.03%)
1.52              9 (0.04%)
1.528             1 (0.00%)
1.53              7 (0.03%)
1.54              6 (0.03%)
1.55              7 (0.03%)
1.56             12 (0.06%)
1.57             10 (0.05%)
1.58              9 (0.04%)
1.585             1 (0.00%)
1.587             2 (0.01%)
1.59              2 (0.01%)
1.6              42 (0.20%)
1.602             1 (0.00%)
1.608             1 (0.00%)
1.61             10 (0.05%)
1.615             1 (0.00%)
1.62              5 (0.02%)
1.63              8 (0.04%)
1.64              6 (0.03%)
1.645             1 (0.00%)
1.647             1 (0.00%)
1.65             14 (0.07%)
1.653             1 (0.00%)
1.655             1 (0.00%)
1.658             1 (0.00%)
1.66              8 (0.04%)
1.668             1 (0.00%)
1.67              9 (0.04%)
1.68              6 (0.03%)
1.69              3 (0.01%)
1.694             2 (0.01%)
1.695             2 (0.01%)
1.696             1 (0.00%)
1.697             1 (0.00%)
1.7              35 (0.16%)
1.703             1 (0.00%)
1.71              7 (0.03%)
1.72              6 (0.03%)
1.723             1 (0.00%)
1.73             11 (0.05%)
1.74              9 (0.04%)
1.746             1 (0.00%)
1.75             10 (0.05%)
1.755             1 (0.00%)
1.76              7 (0.03%)
1.767             1 (0.00%)
1.77              4 (0.02%)
1.773             1 (0.00%)
1.78              7 (0.03%)
1.79              7 (0.03%)
1.8              35 (0.16%)
1.807             1 (0.00%)
1.81              4 (0.02%)
1.82              9 (0.04%)
1.83              5 (0.02%)
1.835             1 (0.00%)
1.84             11 (0.05%)
1.844             1 (0.00%)
1.845             1 (0.00%)
1.85             18 (0.08%)
1.86             11 (0.05%)
1.87              7 (0.03%)
1.876             1 (0.00%)
1.88              9 (0.04%)
1.89             12 (0.06%)
1.9              34 (0.16%)
1.91              1 (0.00%)
1.92             12 (0.06%)
1.93              6 (0.03%)
1.934             1 (0.00%)
1.937             1 (0.00%)
1.94              4 (0.02%)
1.945             1 (0.00%)
1.95             17 (0.08%)
1.96              5 (0.02%)
1.968             1 (0.00%)
1.97              4 (0.02%)
1.98              8 (0.04%)
1.99              2 (0.01%)
1.996             1 (0.00%)
2.0              69 (0.32%)
2.01              4 (0.02%)
2.014             1 (0.00%)
2.02              4 (0.02%)
2.03              2 (0.01%)
2.04             10 (0.05%)
2.05              9 (0.04%)
2.06              3 (0.01%)
2.07              4 (0.02%)
2.075             1 (0.00%)
2.078             1 (0.00%)
2.08              5 (0.02%)
2.09              5 (0.02%)
2.1              44 (0.21%)
2.108             1 (0.00%)
2.11              9 (0.04%)
2.12             10 (0.05%)
2.13             12 (0.06%)
2.134             1 (0.00%)
2.14              6 (0.03%)
2.15             13 (0.06%)
2.16              8 (0.04%)
2.166             1 (0.00%)
2.17              8 (0.04%)
2.18              5 (0.02%)
2.19              4 (0.02%)
2.2              54 (0.25%)
2.21              3 (0.01%)
2.22              2 (0.01%)
2.222             1 (0.00%)
2.23              9 (0.04%)
2.237             1 (0.00%)
2.24              8 (0.04%)
2.25             15 (0.07%)
2.252             1 (0.00%)
2.254             1 (0.00%)
2.26              5 (0.02%)
2.27              6 (0.03%)
2.28              6 (0.03%)
2.285             1 (0.00%)
2.29              8 (0.04%)
2.295             1 (0.00%)
2.3              48 (0.23%)
2.305             1 (0.00%)
2.31              7 (0.03%)
2.32              7 (0.03%)
2.325             1 (0.00%)
2.33              4 (0.02%)
2.332             1 (0.00%)
2.34              5 (0.02%)
2.35             10 (0.05%)
2.36             10 (0.05%)
2.365             1 (0.00%)
2.376             1 (0.00%)
2.38              6 (0.03%)
2.3861            1 (0.00%)
2.39              6 (0.03%)
2.3917            1 (0.00%)
2.3956            1 (0.00%)
2.4              46 (0.22%)
2.41              4 (0.02%)
2.418             1 (0.00%)
2.42              7 (0.03%)
2.43              3 (0.01%)
2.44              6 (0.03%)
2.444             1 (0.00%)
2.45             11 (0.05%)
2.455             2 (0.01%)
2.46              3 (0.01%)
2.47              4 (0.02%)
2.48              6 (0.03%)
2.49              7 (0.03%)
2.5              60 (0.28%)
2.51              5 (0.02%)
2.52             10 (0.05%)
2.53              8 (0.04%)
2.54              2 (0.01%)
2.545             1 (0.00%)
2.55              6 (0.03%)
2.56              5 (0.02%)
2.57              1 (0.00%)
2.58              7 (0.03%)
2.582             1 (0.00%)
2.59              4 (0.02%)
2.6              50 (0.24%)
2.61              6 (0.03%)
2.62              5 (0.02%)
2.63              3 (0.01%)
2.64              6 (0.03%)
2.65              8 (0.04%)
2.66              7 (0.03%)
2.67              7 (0.03%)
2.68             11 (0.05%)
2.69              5 (0.02%)
2.7              44 (0.21%)
2.71              6 (0.03%)
2.72              5 (0.02%)
2.73              4 (0.02%)
2.731             1 (0.00%)
2.74              3 (0.01%)
2.75             13 (0.06%)
2.76              7 (0.03%)
2.77              6 (0.03%)
2.775             2 (0.01%)
2.78              9 (0.04%)
2.79              9 (0.04%)
2.797             1 (0.00%)
2.8              51 (0.24%)
2.81              3 (0.01%)
2.82             11 (0.05%)
2.83              1 (0.00%)
2.84             11 (0.05%)
2.845             1 (0.00%)
2.85             11 (0.05%)
2.855             1 (0.00%)
2.86              8 (0.04%)
2.865             1 (0.00%)
2.87              4 (0.02%)
2.88              2 (0.01%)
2.89              6 (0.03%)
2.9              41 (0.19%)
2.91              4 (0.02%)
2.92             10 (0.05%)
2.93              3 (0.01%)
2.94              6 (0.03%)
2.945             1 (0.00%)
2.95             10 (0.05%)
2.96              7 (0.03%)
2.97              7 (0.03%)
2.98              7 (0.03%)
2.99              5 (0.02%)
3.0              74 (0.35%)
3.01              4 (0.02%)
3.012             1 (0.00%)
3.02              9 (0.04%)
3.03              1 (0.00%)
3.04              6 (0.03%)
3.05             13 (0.06%)
3.06              6 (0.03%)
3.07              8 (0.04%)
3.075             1 (0.00%)
3.08              5 (0.02%)
3.09              4 (0.02%)
3.1              34 (0.16%)
3.11              5 (0.02%)
3.12             10 (0.05%)
3.127             1 (0.00%)
3.13              1 (0.00%)
3.14              4 (0.02%)
3.145             1 (0.00%)
3.15              6 (0.03%)
3.16              3 (0.01%)
3.17              2 (0.01%)
3.18              7 (0.03%)
3.19              2 (0.01%)
3.196             1 (0.00%)
3.2              44 (0.21%)
3.21              4 (0.02%)
3.22              2 (0.01%)
3.223             1 (0.00%)
3.229             1 (0.00%)
3.23              5 (0.02%)
3.24              7 (0.03%)
3.25              9 (0.04%)
3.256             1 (0.00%)
3.2595            1 (0.00%)
3.26              6 (0.03%)
3.27              5 (0.02%)
3.273             1 (0.00%)
3.275             1 (0.00%)
3.2755            1 (0.00%)
3.28              5 (0.02%)
3.29              3 (0.01%)
3.2945            1 (0.00%)
3.3              41 (0.19%)
3.31              3 (0.01%)
3.315             1 (0.00%)
3.32              5 (0.02%)
3.325             1 (0.00%)
3.33              3 (0.01%)
3.34              7 (0.03%)
3.342             2 (0.01%)
3.3445            1 (0.00%)
3.35              6 (0.03%)
3.36              2 (0.01%)
3.37              6 (0.03%)
3.38             10 (0.05%)
3.39              1 (0.00%)
3.396             1 (0.00%)
3.4              32 (0.15%)
3.403             1 (0.00%)
3.405             1 (0.00%)
3.407             1 (0.00%)
3.409             1 (0.00%)
3.41              2 (0.01%)
3.4178            1 (0.00%)
3.42              3 (0.01%)
3.427             1 (0.00%)
3.43              4 (0.02%)
3.44              2 (0.01%)
3.45             11 (0.05%)
3.458             1 (0.00%)
3.46              6 (0.03%)
3.468             1 (0.00%)
3.47              6 (0.03%)
3.478             1 (0.00%)
3.48              7 (0.03%)
3.49              5 (0.02%)
3.5              57 (0.27%)
3.51             11 (0.05%)
3.52              6 (0.03%)
3.53              1 (0.00%)
3.54              7 (0.03%)
3.55              5 (0.02%)
3.56              4 (0.02%)
3.57              5 (0.02%)
3.58              6 (0.03%)
3.59              6 (0.03%)
3.6              35 (0.16%)
3.61              2 (0.01%)
3.616             1 (0.00%)
3.62              5 (0.02%)
3.625             2 (0.01%)
3.628             1 (0.00%)
3.63              1 (0.00%)
3.64              6 (0.03%)
3.642             1 (0.00%)
3.644             1 (0.00%)
3.65             11 (0.05%)
3.655             1 (0.00%)
3.66              5 (0.02%)
3.6657            1 (0.00%)
3.669             1 (0.00%)
3.67              6 (0.03%)
3.677             1 (0.00%)
3.68              6 (0.03%)
3.69              5 (0.02%)
3.7              42 (0.20%)
3.71              5 (0.02%)
3.72              7 (0.03%)
3.722             2 (0.01%)
3.725             1 (0.00%)
3.726             2 (0.01%)
3.73              9 (0.04%)
3.732             1 (0.00%)
3.734             1 (0.00%)
3.74              6 (0.03%)
3.7419            1 (0.00%)
3.743             1 (0.00%)
3.7444            1 (0.00%)
3.7452            1 (0.00%)
3.75              7 (0.03%)
3.752             1 (0.00%)
3.76             12 (0.06%)
3.766             1 (0.00%)
3.77              6 (0.03%)
3.78              4 (0.02%)
3.79              4 (0.02%)
3.795             1 (0.00%)
3.8              37 (0.17%)
3.8082            1 (0.00%)
3.809             1 (0.00%)
3.81              5 (0.02%)
3.82              6 (0.03%)
3.83              4 (0.02%)
3.838             1 (0.00%)
3.84              2 (0.01%)
3.845             1 (0.00%)
3.85             10 (0.05%)
3.86              4 (0.02%)
3.862             1 (0.00%)
3.87              2 (0.01%)
3.875             1 (0.00%)
3.88              7 (0.03%)
3.887             1 (0.00%)
3.888             1 (0.00%)
3.89              4 (0.02%)
3.9              37 (0.17%)
3.91              4 (0.02%)
3.92              8 (0.04%)
3.93              6 (0.03%)
3.934             1 (0.00%)
3.935             1 (0.00%)
3.938             1 (0.00%)
3.94              6 (0.03%)
3.95              8 (0.04%)
3.955             1 (0.00%)
3.959             1 (0.00%)
3.96              4 (0.02%)
3.965             1 (0.00%)
3.97              2 (0.01%)
3.98              3 (0.01%)
3.99              1 (0.00%)
4.0              87 (0.41%)
4.01              1 (0.00%)
4.017             1 (0.00%)
4.02              5 (0.02%)
4.03              2 (0.01%)
4.04              1 (0.00%)
4.05              9 (0.04%)
4.06              5 (0.02%)
4.07              6 (0.03%)
4.08              6 (0.03%)
4.09              1 (0.00%)
4.095             1 (0.00%)
4.1              44 (0.21%)
4.109             1 (0.00%)
4.11              6 (0.03%)
4.115             1 (0.00%)
4.12              7 (0.03%)
4.13              2 (0.01%)
4.14              3 (0.01%)
4.15              8 (0.04%)
4.154             1 (0.00%)
4.156             1 (0.00%)
4.1596            1 (0.00%)
4.16              5 (0.02%)
4.17              4 (0.02%)
4.173             1 (0.00%)
4.18              6 (0.03%)
4.19              4 (0.02%)
4.2              54 (0.25%)
4.21              8 (0.04%)
4.22              2 (0.01%)
4.227             2 (0.01%)
4.23              4 (0.02%)
4.24              6 (0.03%)
4.246             1 (0.00%)
4.25             16 (0.08%)
4.26              3 (0.01%)
4.27              3 (0.01%)
4.28              7 (0.03%)
4.29              2 (0.01%)
4.3              44 (0.21%)
4.301             1 (0.00%)
4.31              4 (0.02%)
4.32              2 (0.01%)
4.33              5 (0.02%)
4.34              1 (0.00%)
4.345             1 (0.00%)
4.35              8 (0.04%)
4.36              5 (0.02%)
4.365             1 (0.00%)
4.37              3 (0.01%)
4.38              4 (0.02%)
4.382             1 (0.00%)
4.39              2 (0.01%)
4.4              34 (0.16%)
4.405             1 (0.00%)
4.41              4 (0.02%)
4.416             1 (0.00%)
4.42              6 (0.03%)
4.425             1 (0.00%)
4.43              5 (0.02%)
4.44              2 (0.01%)
4.45              5 (0.02%)
4.46             12 (0.06%)
4.463             1 (0.00%)
4.465             1 (0.00%)
4.47              6 (0.03%)
4.48              5 (0.02%)
4.49              7 (0.03%)
4.5              40 (0.19%)
4.505             1 (0.00%)
4.51              8 (0.04%)
4.52              6 (0.03%)
4.53              5 (0.02%)
4.54              3 (0.01%)
4.55              9 (0.04%)
4.56              2 (0.01%)
4.57              4 (0.02%)
4.58              4 (0.02%)
4.59              3 (0.01%)
4.6              30 (0.14%)
4.61              4 (0.02%)
4.615             1 (0.00%)
4.62              2 (0.01%)
4.63              3 (0.01%)
4.64              4 (0.02%)
4.643             2 (0.01%)
4.65              8 (0.04%)
4.66              5 (0.02%)
4.67              3 (0.01%)
4.68              6 (0.03%)
4.69              3 (0.01%)
4.7              39 (0.18%)
4.71              5 (0.02%)
4.72              4 (0.02%)
4.73              2 (0.01%)
4.74              4 (0.02%)
4.75             13 (0.06%)
4.76              3 (0.01%)
4.77              3 (0.01%)
4.78              5 (0.02%)
4.79              1 (0.00%)
4.8              43 (0.20%)
4.81              3 (0.01%)
4.82              4 (0.02%)
4.83              2 (0.01%)
4.84              4 (0.02%)
4.85              6 (0.03%)
4.86              6 (0.03%)
4.87              2 (0.01%)
4.88              1 (0.00%)
4.89              1 (0.00%)
4.9              24 (0.11%)
4.91              4 (0.02%)
4.92              7 (0.03%)
4.93              2 (0.01%)
4.94              3 (0.01%)
4.95              2 (0.01%)
4.96              1 (0.00%)
4.97              2 (0.01%)
4.98              2 (0.01%)
4.99              1 (0.00%)
5.0              74 (0.35%)
5.01              1 (0.00%)
5.02              4 (0.02%)
5.03              5 (0.02%)
5.04              5 (0.02%)
5.05              6 (0.03%)
5.07              3 (0.01%)
5.08              3 (0.01%)
5.09              3 (0.01%)
5.1              43 (0.20%)
5.11              3 (0.01%)
5.12              4 (0.02%)
5.13              4 (0.02%)
5.14              2 (0.01%)
5.15              6 (0.03%)
5.16              1 (0.00%)
5.17              5 (0.02%)
5.18              4 (0.02%)
5.19              4 (0.02%)
5.2              35 (0.16%)
5.21              4 (0.02%)
5.22              1 (0.00%)
5.23              2 (0.01%)
5.24              4 (0.02%)
5.25              7 (0.03%)
5.26              3 (0.01%)
5.27              2 (0.01%)
5.28              4 (0.02%)
5.29              2 (0.01%)
5.3              30 (0.14%)
5.31              6 (0.03%)
5.32              6 (0.03%)
5.33              2 (0.01%)
5.34              2 (0.01%)
5.35              5 (0.02%)
5.36              2 (0.01%)
5.37              2 (0.01%)
5.38              3 (0.01%)
5.39              1 (0.00%)
5.4              27 (0.13%)
5.41              2 (0.01%)
5.42              5 (0.02%)
5.43              2 (0.01%)
5.44              2 (0.01%)
5.45              4 (0.02%)
5.46              4 (0.02%)
5.47              4 (0.02%)
5.48              1 (0.00%)
5.49              2 (0.01%)
5.5              43 (0.20%)
5.51              3 (0.01%)
5.52              4 (0.02%)
5.523             1 (0.00%)
5.53              4 (0.02%)
5.54              3 (0.01%)
5.55              4 (0.02%)
5.56              4 (0.02%)
5.57              3 (0.01%)
5.58              3 (0.01%)
5.59              2 (0.01%)
5.6              35 (0.16%)
5.61              2 (0.01%)
5.62              2 (0.01%)
5.63              2 (0.01%)
5.64              1 (0.00%)
5.65              3 (0.01%)
5.66              2 (0.01%)
5.67              4 (0.02%)
5.68              2 (0.01%)
5.69              2 (0.01%)
5.7              26 (0.12%)
5.71              5 (0.02%)
5.72              4 (0.02%)
5.74              4 (0.02%)
5.75              6 (0.03%)
5.76              2 (0.01%)
5.766             1 (0.00%)
5.77              3 (0.01%)
5.78              1 (0.00%)
5.79              2 (0.01%)
5.8              42 (0.20%)
5.82              4 (0.02%)
5.83              3 (0.01%)
5.84              4 (0.02%)
5.85             10 (0.05%)
5.86              6 (0.03%)
5.87              1 (0.00%)
5.872             1 (0.00%)
5.88              2 (0.01%)
5.89              2 (0.01%)
5.9              26 (0.12%)
5.91              2 (0.01%)
5.92              2 (0.01%)
5.93              4 (0.02%)
5.935             1 (0.00%)
5.94              6 (0.03%)
5.95              8 (0.04%)
5.96              5 (0.02%)
5.97              3 (0.01%)
5.98              4 (0.02%)
5.99              1 (0.00%)
6.0              88 (0.41%)
6.01              2 (0.01%)
6.02              2 (0.01%)
6.03              5 (0.02%)
6.04              2 (0.01%)
6.05              6 (0.03%)
6.06              4 (0.02%)
6.07              2 (0.01%)
6.08              1 (0.00%)
6.09              4 (0.02%)
6.1              21 (0.10%)
6.11              1 (0.00%)
6.12              2 (0.01%)
6.13              5 (0.02%)
6.14              4 (0.02%)
6.15              5 (0.02%)
6.155             1 (0.00%)
6.16              1 (0.00%)
6.17              1 (0.00%)
6.18              3 (0.01%)
6.19              1 (0.00%)
6.2              43 (0.20%)
6.21              1 (0.00%)
6.22              2 (0.01%)
6.221             1 (0.00%)
6.23              7 (0.03%)
6.24              4 (0.02%)
6.25              9 (0.04%)
6.26              5 (0.02%)
6.28              7 (0.03%)
6.281             1 (0.00%)
6.29              1 (0.00%)
6.295             1 (0.00%)
6.3              23 (0.11%)
6.32              2 (0.01%)
6.33              2 (0.01%)
6.35              5 (0.02%)
6.36              3 (0.01%)
6.377             1 (0.00%)
6.38              6 (0.03%)
6.39              2 (0.01%)
6.4              33 (0.16%)
6.41              5 (0.02%)
6.42              3 (0.01%)
6.43              6 (0.03%)
6.44              3 (0.01%)
6.45              5 (0.02%)
6.46              1 (0.00%)
6.47              3 (0.01%)
6.48              2 (0.01%)
6.49              2 (0.01%)
6.5              42 (0.20%)
6.51              2 (0.01%)
6.52              4 (0.02%)
6.54              3 (0.01%)
6.55              6 (0.03%)
6.56              1 (0.00%)
6.57              5 (0.02%)
6.58              2 (0.01%)
6.59              1 (0.00%)
6.6              30 (0.14%)
6.61              4 (0.02%)
6.62              7 (0.03%)
6.628             1 (0.00%)
6.63              1 (0.00%)
6.64              3 (0.01%)
