Dataset:     Energy Efficiency
21.68             1 (0.13%)
21.72             1 (0.13%)
21.93             1 (0.13%)
21.97             1 (0.13%)
22.07             1 (0.13%)
22.09             1 (0.13%)
22.25             1 (0.13%)
22.49             1 (0.13%)
22.53             1 (0.13%)
22.72             2 (0.26%)
22.73             1 (0.13%)
23.49             1 (0.13%)
23.77             1 (0.13%)
24.61             2 (0.26%)
24.77             1 (0.13%)
24.8              1 (0.13%)
24.91             1 (0.13%)
24.93             2 (0.26%)
25.02             1 (0.13%)
25.11             1 (0.13%)
25.16             2 (0.26%)
25.35             1 (0.13%)
25.38             1 (0.13%)
25.6              1 (0.13%)
25.63             2 (0.26%)
25.64             1 (0.13%)
25.68             1 (0.13%)
25.72             1 (0.13%)
25.81             1 (0.13%)
25.82             1 (0.13%)
25.84             1 (0.13%)
25.87             1 (0.13%)
25.88             1 (0.13%)
25.89             1 (0.13%)
25.9              1 (0.13%)
25.91             1 (0.13%)
25.95             1 (0.13%)
25.98             1 (0.13%)
26.02             1 (0.13%)
26.08             1 (0.13%)
26.13             1 (0.13%)
26.14             1 (0.13%)
26.18             2 (0.26%)
26.29             1 (0.13%)
26.3              1 (0.13%)
26.37             1 (0.13%)
26.41             1 (0.13%)
26.44             1 (0.13%)
26.47             1 (0.13%)
26.53             1 (0.13%)
26.72             1 (0.13%)
26.95             1 (0.13%)
26.96             1 (0.13%)
27.03             1 (0.13%)
27.17             1 (0.13%)
27.25             1 (0.13%)
27.3              1 (0.13%)
27.31             1 (0.13%)
27.33             1 (0.13%)
27.34             1 (0.13%)
27.36             1 (0.13%)
27.38             1 (0.13%)
27.4              1 (0.13%)
27.54             1 (0.13%)
27.57             1 (0.13%)
27.69             1 (0.13%)
27.76             1 (0.13%)
27.84             1 (0.13%)
27.87             1 (0.13%)
27.89             1 (0.13%)
27.93             1 (0.13%)
28.02             1 (0.13%)
28.14             1 (0.13%)
28.2              1 (0.13%)
28.27             1 (0.13%)
28.28             1 (0.13%)
28.31             1 (0.13%)
28.38             1 (0.13%)
28.43             1 (0.13%)
28.51             1 (0.13%)
28.61             2 (0.26%)
28.68             1 (0.13%)
28.76             1 (0.13%)
28.77             1 (0.13%)
28.79             1 (0.13%)
28.88             1 (0.13%)
28.95             1 (0.13%)
28.99             1 (0.13%)
29.13             1 (0.13%)
29.28             1 (0.13%)
29.31             1 (0.13%)
29.34             1 (0.13%)
29.36             1 (0.13%)
29.4              1 (0.13%)
29.43             3 (0.39%)
29.44             1 (0.13%)
29.45             1 (0.13%)
29.49             1 (0.13%)
29.52             1 (0.13%)
29.53             1 (0.13%)
29.56             1 (0.13%)
29.58             1 (0.13%)
29.59             1 (0.13%)
29.6              1 (0.13%)
29.61             1 (0.13%)
29.62             1 (0.13%)
29.64             1 (0.13%)
29.67             1 (0.13%)
29.68             1 (0.13%)
29.69             2 (0.26%)
29.77             2 (0.26%)
29.78             1 (0.13%)
29.79             4 (0.52%)
29.82             2 (0.26%)
29.87             1 (0.13%)
29.88             1 (0.13%)
29.9              1 (0.13%)
29.92             1 (0.13%)
29.93             1 (0.13%)
30.0              1 (0.13%)
30.02             1 (0.13%)
30.08             1 (0.13%)
30.1              1 (0.13%)
30.11             1 (0.13%)
30.12             2 (0.26%)
30.17             1 (0.13%)
30.18             1 (0.13%)
30.19             2 (0.26%)
30.2              1 (0.13%)
30.34             1 (0.13%)
30.53             1 (0.13%)
30.65             1 (0.13%)
30.66             1 (0.13%)
30.89             1 (0.13%)
30.91             1 (0.13%)
30.93             1 (0.13%)
31.0              1 (0.13%)
31.01             1 (0.13%)
31.06             1 (0.13%)
31.14             1 (0.13%)
31.2              1 (0.13%)
31.27             1 (0.13%)
31.28             1 (0.13%)
31.39             1 (0.13%)
31.53             1 (0.13%)
31.6              1 (0.13%)
31.7              1 (0.13%)
31.71             1 (0.13%)
31.73             2 (0.26%)
31.76             1 (0.13%)
31.9              1 (0.13%)
32.0              1 (0.13%)
32.04             1 (0.13%)
32.12             1 (0.13%)
32.25             1 (0.13%)
32.28             1 (0.13%)
32.35             1 (0.13%)
32.43             1 (0.13%)
32.46             1 (0.13%)
32.54             2 (0.26%)
32.64             1 (0.13%)
32.71             1 (0.13%)
32.77             1 (0.13%)
32.78             1 (0.13%)
32.83             3 (0.39%)
32.85             1 (0.13%)
32.88             1 (0.13%)
32.92             2 (0.26%)
32.93             1 (0.13%)
32.95             1 (0.13%)
32.96             1 (0.13%)
33.01             1 (0.13%)
33.04             1 (0.13%)
33.06             1 (0.13%)
33.13             1 (0.13%)
33.14             1 (0.13%)
33.16             1 (0.13%)
33.17             1 (0.13%)
33.23             1 (0.13%)
33.24             1 (0.13%)
33.31             1 (0.13%)
33.34             1 (0.13%)
33.37             2 (0.26%)
33.47             1 (0.13%)
33.52             1 (0.13%)
33.54             1 (0.13%)
33.62             1 (0.13%)
33.64             1 (0.13%)
33.67             1 (0.13%)
33.76             1 (0.13%)
33.78             2 (0.26%)
33.82             1 (0.13%)
33.84             1 (0.13%)
33.85             1 (0.13%)
33.86             1 (0.13%)
33.87             2 (0.26%)
33.88             2 (0.26%)
33.89             1 (0.13%)
33.91             2 (0.26%)
33.93             1 (0.13%)
33.94             2 (0.26%)
33.95             1 (0.13%)
33.98             2 (0.26%)
34.0              1 (0.13%)
34.01             1 (0.13%)
34.05             1 (0.13%)
34.07             2 (0.26%)
34.11             2 (0.26%)
34.14             2 (0.26%)
34.15             1 (0.13%)
34.17             1 (0.13%)
34.18             1 (0.13%)
34.19             1 (0.13%)
34.2              1 (0.13%)
34.25             2 (0.26%)
34.29             1 (0.13%)
34.33             1 (0.13%)
34.35             1 (0.13%)
34.43             1 (0.13%)
34.45             1 (0.13%)
34.48             1 (0.13%)
34.5              1 (0.13%)
34.52             1 (0.13%)
34.62             1 (0.13%)
34.7              1 (0.13%)
34.73             1 (0.13%)
34.94             1 (0.13%)
34.99             1 (0.13%)
35.04             1 (0.13%)
35.1              2 (0.26%)
35.22             1 (0.13%)
35.28             1 (0.13%)
35.29             1 (0.13%)
35.39             1 (0.13%)
35.48             1 (0.13%)
35.56             1 (0.13%)
35.62             1 (0.13%)
35.71             1 (0.13%)
35.73             1 (0.13%)
35.92             1 (0.13%)
35.99             1 (0.13%)
36.07             1 (0.13%)
36.1              1 (0.13%)
36.12             1 (0.13%)
36.15             1 (0.13%)
36.16             1 (0.13%)
36.2              1 (0.13%)
36.21             1 (0.13%)
36.26             2 (0.26%)
36.35             1 (0.13%)
36.38             1 (0.13%)
36.44             1 (0.13%)
36.62             1 (0.13%)
36.66             1 (0.13%)
36.73             1 (0.13%)
36.76             1 (0.13%)
36.77             1 (0.13%)
36.81             1 (0.13%)
36.85             2 (0.26%)
36.86             1 (0.13%)
36.87             2 (0.26%)
36.93             1 (0.13%)
37.01             1 (0.13%)
37.05             1 (0.13%)
37.12             1 (0.13%)
37.19             1 (0.13%)
37.2              1 (0.13%)
37.26             2 (0.26%)
37.27             1 (0.13%)
37.28             2 (0.26%)
37.29             1 (0.13%)
37.35             1 (0.13%)
37.41             1 (0.13%)
37.45             1 (0.13%)
37.51             1 (0.13%)
37.54             1 (0.13%)
37.58             2 (0.26%)
37.7              1 (0.13%)
37.72             1 (0.13%)
37.73             1 (0.13%)
37.76             1 (0.13%)
37.79             1 (0.13%)
37.81             1 (0.13%)
38.17             1 (0.13%)
38.18             1 (0.13%)
38.23             1 (0.13%)
38.33             1 (0.13%)
38.35             2 (0.26%)
38.48             1 (0.13%)
38.56             1 (0.13%)
38.79             1 (0.13%)
38.81             1 (0.13%)
38.84             1 (0.13%)
39.07             1 (0.13%)
39.22             1 (0.13%)
39.28             1 (0.13%)
39.37             1 (0.13%)
39.41             1 (0.13%)
39.44             1 (0.13%)
39.48             2 (0.26%)
39.55             1 (0.13%)
39.56             1 (0.13%)
39.66             1 (0.13%)
39.67             1 (0.13%)
39.7              1 (0.13%)
39.8              1 (0.13%)
39.85             1 (0.13%)
39.92             1 (0.13%)
40.1              1 (0.13%)
40.36             1 (0.13%)
40.4              1 (0.13%)
40.47             1 (0.13%)
40.63             1 (0.13%)
40.66             1 (0.13%)
40.77             1 (0.13%)
40.85             1 (0.13%)
40.99             1 (0.13%)
41.07             1 (0.13%)
41.22             1 (0.13%)
41.26             1 (0.13%)
41.68             1 (0.13%)
41.86             1 (0.13%)
42.86             1 (0.13%)
43.12             1 (0.13%)
43.14             1 (0.13%)
43.3              1 (0.13%)
43.33             1 (0.13%)
43.66             1 (0.13%)
43.73             1 (0.13%)
43.8              1 (0.13%)
43.86             1 (0.13%)
44.16             1 (0.13%)
44.18             1 (0.13%)
44.87             1 (0.13%)
45.13             1 (0.13%)
45.28             1 (0.13%)
45.29             1 (0.13%)
45.48             1 (0.13%)
45.52             1 (0.13%)
45.59             1 (0.13%)
45.97             1 (0.13%)
46.23             1 (0.13%)
46.44             1 (0.13%)
46.94             1 (0.13%)
47.01             1 (0.13%)
47.59             1 (0.13%)
48.03             1 (0.13%)
