Dataset:     Airfoil Self-Noise
119.19            1 (0.07%)
119.208           1 (0.07%)
119.209           1 (0.07%)
119.224           1 (0.07%)
119.229           1 (0.07%)
119.253           1 (0.07%)
119.287           1 (0.07%)
119.294           1 (0.07%)
119.319           1 (0.07%)
119.343           1 (0.07%)
119.35            1 (0.07%)
119.375           1 (0.07%)
119.505           1 (0.07%)
119.513           1 (0.07%)
119.535           1 (0.07%)
119.54            1 (0.07%)
119.541           1 (0.07%)
119.561           1 (0.07%)
119.598           1 (0.07%)
119.606           1 (0.07%)
119.621           1 (0.07%)
119.632           1 (0.07%)
119.639           1 (0.07%)
119.646           1 (0.07%)
119.649           1 (0.07%)
119.67            1 (0.07%)
119.698           1 (0.07%)
119.708           1 (0.07%)
119.737           2 (0.13%)
119.777           1 (0.07%)
119.806           1 (0.07%)
119.854           1 (0.07%)
119.875           1 (0.07%)
119.888           1 (0.07%)
119.91            1 (0.07%)
119.916           1 (0.07%)
119.945           1 (0.07%)
119.975           1 (0.07%)
120.015           1 (0.07%)
120.034           1 (0.07%)
120.037           1 (0.07%)
120.055           1 (0.07%)
120.058           1 (0.07%)
120.061           1 (0.07%)
120.076           1 (0.07%)
120.078           1 (0.07%)
120.088           1 (0.07%)
120.136           1 (0.07%)
120.137           1 (0.07%)
120.147           1 (0.07%)
120.154           1 (0.07%)
120.162           1 (0.07%)
120.189           2 (0.13%)
120.193           1 (0.07%)
120.209           1 (0.07%)
120.227           1 (0.07%)
120.228           1 (0.07%)
120.229           1 (0.07%)
120.233           1 (0.07%)
120.243           1 (0.07%)
120.247           1 (0.07%)
120.264           1 (0.07%)
120.319           1 (0.07%)
120.324           2 (0.13%)
120.33            1 (0.07%)
120.354           1 (0.07%)
120.397           1 (0.07%)
120.419           1 (0.07%)
120.446           1 (0.07%)
120.458           1 (0.07%)
120.472           1 (0.07%)
120.484           1 (0.07%)
120.497           1 (0.07%)
120.505           1 (0.07%)
120.509           1 (0.07%)
120.513           1 (0.07%)
120.527           1 (0.07%)
120.532           1 (0.07%)
120.534           2 (0.13%)
120.538           1 (0.07%)
120.553           1 (0.07%)
120.555           1 (0.07%)
120.569           1 (0.07%)
120.573           1 (0.07%)
120.575           1 (0.07%)
120.595           1 (0.07%)
120.607           1 (0.07%)
120.654           1 (0.07%)
120.657           1 (0.07%)
120.702           1 (0.07%)
120.716           1 (0.07%)
120.726           1 (0.07%)
120.755           1 (0.07%)
120.766           2 (0.13%)
120.779           1 (0.07%)
120.786           1 (0.07%)
120.798           1 (0.07%)
120.835           1 (0.07%)
120.851           1 (0.07%)
120.856           1 (0.07%)
120.92            1 (0.07%)
120.952           1 (0.07%)
120.963           1 (0.07%)
120.981           1 (0.07%)
121.009           1 (0.07%)
121.055           1 (0.07%)
121.059           1 (0.07%)
121.106           1 (0.07%)
121.118           1 (0.07%)
121.146           1 (0.07%)
121.154           1 (0.07%)
121.165           1 (0.07%)
121.225           1 (0.07%)
121.234           1 (0.07%)
121.235           1 (0.07%)
121.238           1 (0.07%)
121.256           1 (0.07%)
121.284           1 (0.07%)
121.301           1 (0.07%)
121.306           1 (0.07%)
121.313           1 (0.07%)
121.315           1 (0.07%)
121.318           1 (0.07%)
121.397           1 (0.07%)
121.399           1 (0.07%)
121.407           1 (0.07%)
121.431           1 (0.07%)
121.474           1 (0.07%)
121.485           2 (0.13%)
121.499           1 (0.07%)
121.514           1 (0.07%)
121.527           1 (0.07%)
121.528           1 (0.07%)
121.547           1 (0.07%)
121.582           1 (0.07%)
121.587           1 (0.07%)
121.617           1 (0.07%)
121.627           1 (0.07%)
121.635           1 (0.07%)
121.657           1 (0.07%)
121.659           1 (0.07%)
121.66            1 (0.07%)
121.664           1 (0.07%)
121.728           1 (0.07%)
121.762           1 (0.07%)
121.771           1 (0.07%)
121.775           1 (0.07%)
121.783           1 (0.07%)
121.789           1 (0.07%)
121.824           1 (0.07%)
121.851           1 (0.07%)
121.885           1 (0.07%)
121.889           1 (0.07%)
121.903           1 (0.07%)
121.93            1 (0.07%)
121.933           1 (0.07%)
121.944           1 (0.07%)
121.996           1 (0.07%)
122.035           1 (0.07%)
122.044           2 (0.13%)
122.082           1 (0.07%)
122.086           1 (0.07%)
122.088           2 (0.13%)
122.089           1 (0.07%)
122.101           1 (0.07%)
122.147           1 (0.07%)
122.149           1 (0.07%)
122.17            1 (0.07%)
122.175           1 (0.07%)
122.205           1 (0.07%)
122.211           1 (0.07%)
122.216           1 (0.07%)
122.218           1 (0.07%)
122.229           1 (0.07%)
122.232           1 (0.07%)
122.235           1 (0.07%)
122.288           1 (0.07%)
122.292           1 (0.07%)
122.315           1 (0.07%)
122.341           1 (0.07%)
122.365           1 (0.07%)
122.371           1 (0.07%)
122.375           1 (0.07%)
122.384           1 (0.07%)
122.394           1 (0.07%)
122.397           1 (0.07%)
122.41            1 (0.07%)
122.411           1 (0.07%)
122.413           1 (0.07%)
122.428           1 (0.07%)
122.435           1 (0.07%)
122.439           1 (0.07%)
122.45            1 (0.07%)
122.471           1 (0.07%)
122.527           1 (0.07%)
122.539           1 (0.07%)
122.606           1 (0.07%)
122.612           1 (0.07%)
122.648           1 (0.07%)
122.675           1 (0.07%)
122.679           1 (0.07%)
122.708           1 (0.07%)
122.724           1 (0.07%)
122.754           1 (0.07%)
122.765           1 (0.07%)
122.766           1 (0.07%)
122.771           1 (0.07%)
122.779           1 (0.07%)
122.782           1 (0.07%)
122.79            1 (0.07%)
122.797           1 (0.07%)
122.816           1 (0.07%)
122.845           1 (0.07%)
122.893           1 (0.07%)
122.905           1 (0.07%)
122.919           1 (0.07%)
122.938           1 (0.07%)
122.94            1 (0.07%)
122.956           1 (0.07%)
122.966           1 (0.07%)
123.037           1 (0.07%)
123.054           1 (0.07%)
123.061           1 (0.07%)
123.069           1 (0.07%)
123.081           1 (0.07%)
123.082           1 (0.07%)
123.091           1 (0.07%)
123.118           1 (0.07%)
123.12            1 (0.07%)
123.126           1 (0.07%)
123.127           1 (0.07%)
123.177           1 (0.07%)
123.178           1 (0.07%)
123.189           1 (0.07%)
123.207           1 (0.07%)
123.209           1 (0.07%)
123.213           1 (0.07%)
123.217           1 (0.07%)
123.227           1 (0.07%)
123.236           1 (0.07%)
123.255           1 (0.07%)
123.263           1 (0.07%)
123.274           1 (0.07%)
123.303           1 (0.07%)
123.304           1 (0.07%)
123.305           1 (0.07%)
123.311           1 (0.07%)
123.312           1 (0.07%)
123.354           1 (0.07%)
123.392           1 (0.07%)
123.41            1 (0.07%)
123.416           1 (0.07%)
123.417           1 (0.07%)
123.443           1 (0.07%)
123.445           2 (0.13%)
123.453           1 (0.07%)
123.455           1 (0.07%)
123.46            1 (0.07%)
123.465           1 (0.07%)
123.466           1 (0.07%)
123.514           1 (0.07%)
123.537           1 (0.07%)
123.543           1 (0.07%)
123.564           1 (0.07%)
123.565           1 (0.07%)
123.583           1 (0.07%)
123.595           1 (0.07%)
123.609           1 (0.07%)
123.623           1 (0.07%)
123.635           1 (0.07%)
123.689           1 (0.07%)
123.695           1 (0.07%)
123.705           1 (0.07%)
123.74            1 (0.07%)
123.742           2 (0.13%)
123.761           1 (0.07%)
123.775           1 (0.07%)
123.78            1 (0.07%)
123.807           1 (0.07%)
123.82            1 (0.07%)
123.835           1 (0.07%)
123.839           1 (0.07%)
123.862           1 (0.07%)
123.865           1 (0.07%)
123.879           1 (0.07%)
123.894           1 (0.07%)
123.917           1 (0.07%)
123.965           1 (0.07%)
123.988           1 (0.07%)
123.991           1 (0.07%)
124.001           1 (0.07%)
124.024           1 (0.07%)
124.049           1 (0.07%)
124.077           1 (0.07%)
124.086           1 (0.07%)
124.101           1 (0.07%)
124.106           1 (0.07%)
124.108           1 (0.07%)
124.121           1 (0.07%)
124.127           1 (0.07%)
124.154           1 (0.07%)
124.155           1 (0.07%)
124.156           1 (0.07%)
124.166           1 (0.07%)
124.17            1 (0.07%)
124.188           1 (0.07%)
124.207           1 (0.07%)
124.208           1 (0.07%)
124.214           1 (0.07%)
124.222           1 (0.07%)
124.233           1 (0.07%)
124.244           1 (0.07%)
124.253           1 (0.07%)
124.254           1 (0.07%)
124.273           1 (0.07%)
124.276           1 (0.07%)
124.304           1 (0.07%)
124.318           1 (0.07%)
124.336           1 (0.07%)
124.338           1 (0.07%)
124.346           1 (0.07%)
124.353           1 (0.07%)
124.355           1 (0.07%)
124.356           1 (0.07%)
124.364           1 (0.07%)
124.393           1 (0.07%)
124.394           1 (0.07%)
124.395           1 (0.07%)
124.403           1 (0.07%)
124.42            1 (0.07%)
124.426           1 (0.07%)
124.438           1 (0.07%)
124.439           1 (0.07%)
124.45            1 (0.07%)
124.458           1 (0.07%)
124.493           1 (0.07%)
124.512           1 (0.07%)
124.514           1 (0.07%)
124.525           1 (0.07%)
124.555           1 (0.07%)
124.612           1 (0.07%)
124.625           1 (0.07%)
124.644           1 (0.07%)
124.647           1 (0.07%)
124.665           1 (0.07%)
124.685           1 (0.07%)
124.692           1 (0.07%)
124.717           1 (0.07%)
124.748           1 (0.07%)
124.756           1 (0.07%)
124.809           1 (0.07%)
124.835           1 (0.07%)
124.838           1 (0.07%)
124.839           1 (0.07%)
124.843           1 (0.07%)
124.852           1 (0.07%)
124.881           1 (0.07%)
124.904           1 (0.07%)
124.931           1 (0.07%)
124.986           1 (0.07%)
124.987           1 (0.07%)
125.01            1 (0.07%)
125.025           1 (0.07%)
125.026           1 (0.07%)
125.044           1 (0.07%)
125.045           1 (0.07%)
125.048           1 (0.07%)
125.054           1 (0.07%)
125.094           1 (0.07%)
125.107           1 (0.07%)
125.114           1 (0.07%)
125.116           1 (0.07%)
125.127           1 (0.07%)
125.157           1 (0.07%)
125.16            1 (0.07%)
125.194           1 (0.07%)
125.201           2 (0.13%)
125.203           1 (0.07%)
125.211           1 (0.07%)
125.22            1 (0.07%)
125.229           1 (0.07%)
125.261           1 (0.07%)
125.268           1 (0.07%)
125.305           1 (0.07%)
125.319           1 (0.07%)
125.343           1 (0.07%)
125.347           1 (0.07%)
125.348           1 (0.07%)
125.353           1 (0.07%)
125.376           1 (0.07%)
125.39            1 (0.07%)
125.398           2 (0.13%)
125.401           1 (0.07%)
125.427           1 (0.07%)
125.452           1 (0.07%)
125.465           1 (0.07%)
125.472           1 (0.07%)
125.484           1 (0.07%)
125.499           1 (0.07%)
125.524           1 (0.07%)
125.527           1 (0.07%)
125.539           1 (0.07%)
125.555           1 (0.07%)
125.571           1 (0.07%)
125.576           1 (0.07%)
125.581           1 (0.07%)
125.586           2 (0.13%)
125.589           1 (0.07%)
125.603           1 (0.07%)
125.625           1 (0.07%)
125.627           1 (0.07%)
125.63            1 (0.07%)
125.631           1 (0.07%)
125.647           1 (0.07%)
125.683           1 (0.07%)
125.715           1 (0.07%)
125.717           1 (0.07%)
125.721           1 (0.07%)
125.724           1 (0.07%)
125.726           1 (0.07%)
125.727           1 (0.07%)
125.728           1 (0.07%)
125.741           1 (0.07%)
125.797           1 (0.07%)
125.802           1 (0.07%)
125.809           1 (0.07%)
125.816           1 (0.07%)
125.817           1 (0.07%)
125.824           1 (0.07%)
125.837           1 (0.07%)
125.856           1 (0.07%)
125.857           1 (0.07%)
125.867           1 (0.07%)
125.872           1 (0.07%)
125.89            1 (0.07%)
125.941           1 (0.07%)
125.951           1 (0.07%)
125.963           1 (0.07%)
125.966           1 (0.07%)
125.974           1 (0.07%)
125.992           1 (0.07%)
125.997           1 (0.07%)
125.998           1 (0.07%)
126.001           1 (0.07%)
126.021           1 (0.07%)
126.045           1 (0.07%)
126.049           1 (0.07%)
126.066           1 (0.07%)
126.086           1 (0.07%)
126.097           1 (0.07%)
126.116           1 (0.07%)
126.149           1 (0.07%)
126.152           1 (0.07%)
126.159           1 (0.07%)
126.16            1 (0.07%)
126.17            1 (0.07%)
126.189           1 (0.07%)
126.195           2 (0.13%)
126.201           1 (0.07%)
126.218           1 (0.07%)
126.266           1 (0.07%)
126.267           1 (0.07%)
126.291           1 (0.07%)
126.299           1 (0.07%)
126.343           1 (0.07%)
126.345           1 (0.07%)
126.349           1 (0.07%)
126.356           1 (0.07%)
126.395           1 (0.07%)
126.406           1 (0.07%)
126.413           1 (0.07%)
126.416           1 (0.07%)
126.43            1 (0.07%)
126.446           1 (0.07%)
126.457           1 (0.07%)
126.465           1 (0.07%)
126.471           1 (0.07%)
126.486           1 (0.07%)
126.5             1 (0.07%)
126.508           1 (0.07%)
126.514           2 (0.13%)
126.534           1 (0.07%)
126.536           1 (0.07%)
126.537           1 (0.07%)
126.54            3 (0.20%)
126.565           1 (0.07%)
126.59            1 (0.07%)
126.599           1 (0.07%)
126.616           1 (0.07%)
126.632           1 (0.07%)
126.642           1 (0.07%)
126.644           1 (0.07%)
126.645           1 (0.07%)
126.648           1 (0.07%)
126.661           1 (0.07%)
126.675           1 (0.07%)
126.677           1 (0.07%)
126.713           1 (0.07%)
126.736           1 (0.07%)
126.743           1 (0.07%)
126.746           1 (0.07%)
126.752           1 (0.07%)
126.758           1 (0.07%)
126.78            1 (0.07%)
126.79            1 (0.07%)
126.805           2 (0.13%)
126.807           1 (0.07%)
126.826           1 (0.07%)
126.835           1 (0.07%)
126.838           2 (0.13%)
126.842           1 (0.07%)
126.843           1 (0.07%)
126.846           1 (0.07%)
126.863           1 (0.07%)
126.886           1 (0.07%)
126.896           1 (0.07%)
126.898           1 (0.07%)
126.926           1 (0.07%)
126.933           1 (0.07%)
126.944           1 (0.07%)
126.959           1 (0.07%)
126.966           1 (0.07%)
126.986           1 (0.07%)
126.995           1 (0.07%)
127.006           1 (0.07%)
127.008           1 (0.07%)
127.011           1 (0.07%)
127.039           1 (0.07%)
127.04            1 (0.07%)
127.054           2 (0.13%)
127.076           1 (0.07%)
127.094           1 (0.07%)
127.095           1 (0.07%)
127.101           1 (0.07%)
127.117           1 (0.07%)
127.122           1 (0.07%)
127.127           1 (0.07%)
127.141           1 (0.07%)
127.179           1 (0.07%)
127.197           1 (0.07%)
127.206           1 (0.07%)
127.22            1 (0.07%)
127.224           1 (0.07%)
127.229           1 (0.07%)
127.233           1 (0.07%)
127.246           1 (0.07%)
127.251           1 (0.07%)
127.285           1 (0.07%)
127.299           1 (0.07%)
127.307           1 (0.07%)
127.314           1 (0.07%)
127.315           3 (0.20%)
127.318           1 (0.07%)
127.329           1 (0.07%)
127.356           1 (0.07%)
127.358           1 (0.07%)
127.365           1 (0.07%)
127.375           1 (0.07%)
127.394           1 (0.07%)
127.398           1 (0.07%)
127.404           1 (0.07%)
127.408           1 (0.07%)
127.417           1 (0.07%)
127.443           1 (0.07%)
127.461           1 (0.07%)
127.465           1 (0.07%)
127.488           1 (0.07%)
127.53            1 (0.07%)
127.548           1 (0.07%)
127.556           1 (0.07%)
127.564           1 (0.07%)
127.581           1 (0.07%)
127.591           2 (0.13%)
127.614           1 (0.07%)
127.623           1 (0.07%)
127.625           1 (0.07%)
127.632           1 (0.07%)
127.634           1 (0.07%)
127.636           1 (0.07%)
127.637           1 (0.07%)
127.638           1 (0.07%)
127.676           1 (0.07%)
127.686           1 (0.07%)
127.688           1 (0.07%)
127.696           1 (0.07%)
127.7             1 (0.07%)
127.71            1 (0.07%)
127.73            1 (0.07%)
127.753           1 (0.07%)
127.763           1 (0.07%)
127.781           1 (0.07%)
127.796           1 (0.07%)
127.801           1 (0.07%)
127.815           1 (0.07%)
127.834           1 (0.07%)
127.847           1 (0.07%)
127.864           1 (0.07%)
127.893           1 (0.07%)
127.899           1 (0.07%)
127.903           1 (0.07%)
127.91            1 (0.07%)
127.92            1 (0.07%)
127.928           1 (0.07%)
127.947           1 (0.07%)
128.082           1 (0.07%)
128.086           1 (0.07%)
128.119           1 (0.07%)
128.127           1 (0.07%)
128.139           1 (0.07%)
128.144           1 (0.07%)
128.169           1 (0.07%)
128.175           1 (0.07%)
128.179           1 (0.07%)
128.2             1 (0.07%)
128.216           1 (0.07%)
128.241           1 (0.07%)
128.244           1 (0.07%)
128.246           1 (0.07%)
128.252           1 (0.07%)
128.257           1 (0.07%)
128.264           1 (0.07%)
128.265           1 (0.07%)
128.29            1 (0.07%)
128.295           1 (0.07%)
128.296           1 (0.07%)
128.306           1 (0.07%)
128.311           1 (0.07%)
128.312           1 (0.07%)
128.334           1 (0.07%)
128.335           1 (0.07%)
128.338           1 (0.07%)
128.339           1 (0.07%)
128.345           1 (0.07%)
128.354           2 (0.13%)
128.36            1 (0.07%)
128.365           1 (0.07%)
128.381           1 (0.07%)
128.398           1 (0.07%)
128.401           2 (0.13%)
128.402           1 (0.07%)
128.412           1 (0.07%)
128.416           1 (0.07%)
128.423           1 (0.07%)
128.427           1 (0.07%)
128.435           1 (0.07%)
128.444           2 (0.13%)
128.454           1 (0.07%)
128.484           1 (0.07%)
128.492           1 (0.07%)
128.518           1 (0.07%)
128.536           1 (0.07%)
128.545           1 (0.07%)
128.559           1 (0.07%)
128.56            1 (0.07%)
128.562           1 (0.07%)
128.576           1 (0.07%)
128.583           1 (0.07%)
128.595           1 (0.07%)
128.629           1 (0.07%)
128.633           1 (0.07%)
128.643           1 (0.07%)
128.647           1 (0.07%)
128.677           1 (0.07%)
128.679           1 (0.07%)
128.698           1 (0.07%)
128.704           1 (0.07%)
128.705           1 (0.07%)
128.707           1 (0.07%)
128.708           1 (0.07%)
128.713           1 (0.07%)
128.718           1 (0.07%)
128.723           1 (0.07%)
128.74            1 (0.07%)
128.762           1 (0.07%)
128.763           1 (0.07%)
128.774           1 (0.07%)
128.805           1 (0.07%)
128.809           1 (0.07%)
128.816           1 (0.07%)
128.825           1 (0.07%)
128.829           1 (0.07%)
128.831           1 (0.07%)
128.857           1 (0.07%)
128.867           1 (0.07%)
128.878           1 (0.07%)
128.879           1 (0.07%)
128.907           1 (0.07%)
128.916           1 (0.07%)
128.927           1 (0.07%)
128.929           1 (0.07%)
128.939           2 (0.13%)
128.952           1 (0.07%)
128.956           1 (0.07%)
128.971           1 (0.07%)
128.977           1 (0.07%)
128.978           1 (0.07%)
128.99            1 (0.07%)
129.002           1 (0.07%)
129.004           1 (0.07%)
129.006           1 (0.07%)
129.014           1 (0.07%)
129.027           1 (0.07%)
129.037           1 (0.07%)
129.038           1 (0.07%)
129.053           1 (0.07%)
129.057           1 (0.07%)
129.095           1 (0.07%)
129.099           1 (0.07%)
129.116           1 (0.07%)
129.117           1 (0.07%)
129.119           1 (0.07%)
129.134           1 (0.07%)
129.144           1 (0.07%)
129.147           1 (0.07%)
129.148           1 (0.07%)
129.235           1 (0.07%)
129.256           1 (0.07%)
129.267           1 (0.07%)
129.27            1 (0.07%)
129.281           1 (0.07%)
129.285           1 (0.07%)
129.292           1 (0.07%)
129.296           1 (0.07%)
129.301           1 (0.07%)
129.308           1 (0.07%)
129.329           1 (0.07%)
129.33            1 (0.07%)
129.343           1 (0.07%)
129.354           1 (0.07%)
129.367           1 (0.07%)
129.377           1 (0.07%)
129.395           3 (0.20%)
129.415           1 (0.07%)
129.45            1 (0.07%)
129.465           1 (0.07%)
129.468           1 (0.07%)
129.491           1 (0.07%)
129.494           1 (0.07%)
129.5             1 (0.07%)
129.516           1 (0.07%)
129.552           1 (0.07%)
129.556           1 (0.07%)
129.567           1 (0.07%)
129.569           1 (0.07%)
129.575           1 (0.07%)
129.579           1 (0.07%)
