Dataset:     Online News Popularity
410               4 (0.01%)
411               4 (0.01%)
412               6 (0.02%)
413               6 (0.02%)
414               3 (0.01%)
415               4 (0.01%)
416               8 (0.02%)
417               6 (0.02%)
418               1 (0.00%)
419               3 (0.01%)
420               4 (0.01%)
421               4 (0.01%)
422               4 (0.01%)
423               4 (0.01%)
424               4 (0.01%)
425               6 (0.02%)
426               3 (0.01%)
427               3 (0.01%)
428               4 (0.01%)
429               5 (0.01%)
430               7 (0.02%)
431               4 (0.01%)
432               5 (0.01%)
433               1 (0.00%)
434               5 (0.01%)
435               6 (0.02%)
436              10 (0.03%)
437               7 (0.02%)
438               7 (0.02%)
439               3 (0.01%)
440               5 (0.01%)
441               4 (0.01%)
442               3 (0.01%)
443               1 (0.00%)
444               9 (0.02%)
445               4 (0.01%)
446               4 (0.01%)
447               8 (0.02%)
448              11 (0.03%)
449               3 (0.01%)
450               8 (0.02%)
451              10 (0.03%)
452               8 (0.02%)
453               4 (0.01%)
454               9 (0.02%)
455               6 (0.02%)
456               9 (0.02%)
457               4 (0.01%)
458               6 (0.02%)
459               7 (0.02%)
460               4 (0.01%)
461              10 (0.03%)
462               9 (0.02%)
463               7 (0.02%)
464               7 (0.02%)
465               4 (0.01%)
466               3 (0.01%)
467               6 (0.02%)
468              10 (0.03%)
469               9 (0.02%)
470               2 (0.01%)
471              11 (0.03%)
472               5 (0.01%)
473              14 (0.04%)
474              11 (0.03%)
475              10 (0.03%)
476               6 (0.02%)
477               5 (0.01%)
478              13 (0.03%)
479               8 (0.02%)
480               6 (0.02%)
481               5 (0.01%)
482               5 (0.01%)
483               7 (0.02%)
484              11 (0.03%)
485              12 (0.03%)
486               8 (0.02%)
487               2 (0.01%)
488              10 (0.03%)
489               6 (0.02%)
490               5 (0.01%)
491               8 (0.02%)
492               9 (0.02%)
493               9 (0.02%)
494               4 (0.01%)
495              10 (0.03%)
496              11 (0.03%)
497              10 (0.03%)
498              13 (0.03%)
499               4 (0.01%)
500              15 (0.04%)
501               8 (0.02%)
502               8 (0.02%)
503               9 (0.02%)
504               8 (0.02%)
505               4 (0.01%)
506               9 (0.02%)
507              11 (0.03%)
508               8 (0.02%)
509               5 (0.01%)
510              14 (0.04%)
511               7 (0.02%)
512               5 (0.01%)
513               5 (0.01%)
514               5 (0.01%)
515               9 (0.02%)
516              10 (0.03%)
517               6 (0.02%)
518              12 (0.03%)
519              13 (0.03%)
520               4 (0.01%)
521               8 (0.02%)
522              16 (0.04%)
523              11 (0.03%)
524               7 (0.02%)
525              10 (0.03%)
526              12 (0.03%)
527              14 (0.04%)
528               8 (0.02%)
529              10 (0.03%)
530              10 (0.03%)
531              12 (0.03%)
532              17 (0.04%)
533              13 (0.03%)
534               7 (0.02%)
535               9 (0.02%)
536              15 (0.04%)
537              11 (0.03%)
538              14 (0.04%)
539              11 (0.03%)
540               8 (0.02%)
541               7 (0.02%)
542              12 (0.03%)
543              12 (0.03%)
544              10 (0.03%)
545              10 (0.03%)
546               8 (0.02%)
547              11 (0.03%)
548              17 (0.04%)
549              12 (0.03%)
550              13 (0.03%)
551               7 (0.02%)
552              15 (0.04%)
553               7 (0.02%)
554              12 (0.03%)
555              10 (0.03%)
556              12 (0.03%)
557               9 (0.02%)
558               9 (0.02%)
559              11 (0.03%)
560              15 (0.04%)
561               7 (0.02%)
562              11 (0.03%)
563              14 (0.04%)
564               9 (0.02%)
565              10 (0.03%)
566              20 (0.05%)
567               9 (0.02%)
568              12 (0.03%)
569              17 (0.04%)
570               9 (0.02%)
571              13 (0.03%)
572               8 (0.02%)
573              14 (0.04%)
574              15 (0.04%)
575               8 (0.02%)
576              13 (0.03%)
577              11 (0.03%)
578              14 (0.04%)
579              16 (0.04%)
580              11 (0.03%)
581              19 (0.05%)
582              11 (0.03%)
583              13 (0.03%)
584               9 (0.02%)
585              14 (0.04%)
586              10 (0.03%)
587              19 (0.05%)
588               9 (0.02%)
589              19 (0.05%)
590              17 (0.04%)
591              11 (0.03%)
592              11 (0.03%)
593              12 (0.03%)
594              13 (0.03%)
595              12 (0.03%)
596              16 (0.04%)
597              18 (0.05%)
598              13 (0.03%)
599              14 (0.04%)
600              13 (0.03%)
601               8 (0.02%)
602              17 (0.04%)
603              12 (0.03%)
604              12 (0.03%)
605              15 (0.04%)
606              21 (0.05%)
607              10 (0.03%)
608              16 (0.04%)
609              11 (0.03%)
610              11 (0.03%)
611               9 (0.02%)
612              20 (0.05%)
613              17 (0.04%)
614               9 (0.02%)
615              15 (0.04%)
616              11 (0.03%)
617               8 (0.02%)
618              15 (0.04%)
619              13 (0.03%)
620              17 (0.04%)
621              17 (0.04%)
622              16 (0.04%)
623              15 (0.04%)
624              13 (0.03%)
625              12 (0.03%)
626              16 (0.04%)
627              16 (0.04%)
628               9 (0.02%)
629              21 (0.05%)
630              14 (0.04%)
631               8 (0.02%)
632               8 (0.02%)
633              16 (0.04%)
634              14 (0.04%)
635              19 (0.05%)
636              11 (0.03%)
637               8 (0.02%)
638              17 (0.04%)
639              19 (0.05%)
640              21 (0.05%)
641              14 (0.04%)
642              25 (0.06%)
643              13 (0.03%)
644              15 (0.04%)
645              20 (0.05%)
646              13 (0.03%)
647              11 (0.03%)
648              12 (0.03%)
649              17 (0.04%)
650              17 (0.04%)
651              18 (0.05%)
652               9 (0.02%)
653              18 (0.05%)
654              17 (0.04%)
655              17 (0.04%)
656              18 (0.05%)
657              22 (0.06%)
658              15 (0.04%)
659              20 (0.05%)
660              13 (0.03%)
661              14 (0.04%)
662              11 (0.03%)
663              14 (0.04%)
664              21 (0.05%)
665              18 (0.05%)
666              14 (0.04%)
667              20 (0.05%)
668              12 (0.03%)
669              17 (0.04%)
670              17 (0.04%)
671              24 (0.06%)
672              18 (0.05%)
673              12 (0.03%)
674              23 (0.06%)
675              18 (0.05%)
676              16 (0.04%)
677              15 (0.04%)
678              18 (0.05%)
679              16 (0.04%)
680              13 (0.03%)
681              24 (0.06%)
682              20 (0.05%)
683              16 (0.04%)
684              15 (0.04%)
685              13 (0.03%)
686              19 (0.05%)
687              19 (0.05%)
688              23 (0.06%)
689              15 (0.04%)
690              24 (0.06%)
691              21 (0.05%)
692              17 (0.04%)
693              18 (0.05%)
694              15 (0.04%)
695              17 (0.04%)
696              19 (0.05%)
697              15 (0.04%)
698              35 (0.09%)
699              24 (0.06%)
700              16 (0.04%)
701              32 (0.08%)
702              14 (0.04%)
703              24 (0.06%)
704              24 (0.06%)
705              20 (0.05%)
706              17 (0.04%)
707              23 (0.06%)
708              20 (0.05%)
709              18 (0.05%)
710              18 (0.05%)
711              18 (0.05%)
712              30 (0.08%)
713              24 (0.06%)
714              18 (0.05%)
715              24 (0.06%)
716              28 (0.07%)
717              24 (0.06%)
718              25 (0.06%)
719              26 (0.07%)
720              29 (0.07%)
721              21 (0.05%)
722              17 (0.04%)
723              21 (0.05%)
724              24 (0.06%)
725              26 (0.07%)
726              24 (0.06%)
727              20 (0.05%)
728              28 (0.07%)
729              22 (0.06%)
730              23 (0.06%)
731              33 (0.08%)
732              24 (0.06%)
733              19 (0.05%)
734              18 (0.05%)
735              24 (0.06%)
736              23 (0.06%)
737              20 (0.05%)
738              17 (0.04%)
739              20 (0.05%)
740              24 (0.06%)
741              21 (0.05%)
742              24 (0.06%)
743              23 (0.06%)
744              29 (0.07%)
745              22 (0.06%)
746              20 (0.05%)
747              17 (0.04%)
748              15 (0.04%)
749              19 (0.05%)
750              28 (0.07%)
751              22 (0.06%)
752              25 (0.06%)
753              31 (0.08%)
754              27 (0.07%)
755              35 (0.09%)
756              23 (0.06%)
757              19 (0.05%)
758              25 (0.06%)
759              31 (0.08%)
760              20 (0.05%)
761              23 (0.06%)
762              21 (0.05%)
763              17 (0.04%)
764              19 (0.05%)
765              18 (0.05%)
766              16 (0.04%)
767              21 (0.05%)
768              30 (0.08%)
769              20 (0.05%)
770              16 (0.04%)
771              28 (0.07%)
772              20 (0.05%)
773              28 (0.07%)
774              23 (0.06%)
775              33 (0.08%)
776              30 (0.08%)
777              27 (0.07%)
778              18 (0.05%)
779              27 (0.07%)
780              22 (0.06%)
781              20 (0.05%)
782              20 (0.05%)
783              30 (0.08%)
784              20 (0.05%)
785              19 (0.05%)
786              32 (0.08%)
787              37 (0.09%)
788              29 (0.07%)
789              25 (0.06%)
790              32 (0.08%)
791              31 (0.08%)
792              18 (0.05%)
793              15 (0.04%)
794              20 (0.05%)
795              22 (0.06%)
796              18 (0.05%)
797              26 (0.07%)
798              31 (0.08%)
799              24 (0.06%)
800              24 (0.06%)
801              20 (0.05%)
802              32 (0.08%)
803              21 (0.05%)
804              21 (0.05%)
805              25 (0.06%)
806              32 (0.08%)
807              25 (0.06%)
808              27 (0.07%)
809              20 (0.05%)
810              19 (0.05%)
811              34 (0.09%)
812              31 (0.08%)
813              23 (0.06%)
814              13 (0.03%)
815              27 (0.07%)
816              27 (0.07%)
817              27 (0.07%)
818              28 (0.07%)
819              19 (0.05%)
820              29 (0.07%)
821              28 (0.07%)
822              28 (0.07%)
823              40 (0.10%)
824              28 (0.07%)
825              21 (0.05%)
826              22 (0.06%)
827              33 (0.08%)
828              27 (0.07%)
829              24 (0.06%)
830              26 (0.07%)
831              22 (0.06%)
832              25 (0.06%)
833              32 (0.08%)
834              23 (0.06%)
835              26 (0.07%)
836              17 (0.04%)
837              19 (0.05%)
838              27 (0.07%)
839              23 (0.06%)
840              28 (0.07%)
841              24 (0.06%)
842              28 (0.07%)
843              26 (0.07%)
844              29 (0.07%)
845              29 (0.07%)
846              30 (0.08%)
847              24 (0.06%)
848              16 (0.04%)
849              15 (0.04%)
850              34 (0.09%)
851              30 (0.08%)
852              25 (0.06%)
853              28 (0.07%)
854              27 (0.07%)
855              23 (0.06%)
856              24 (0.06%)
857              23 (0.06%)
858              20 (0.05%)
859              33 (0.08%)
860              32 (0.08%)
861              30 (0.08%)
862              27 (0.07%)
863              37 (0.09%)
864              28 (0.07%)
865              25 (0.06%)
866              23 (0.06%)
867              23 (0.06%)
868              21 (0.05%)
869              19 (0.05%)
870              25 (0.06%)
871              23 (0.06%)
872              24 (0.06%)
873              26 (0.07%)
874              29 (0.07%)
875              29 (0.07%)
876              19 (0.05%)
877              36 (0.09%)
878              36 (0.09%)
879              26 (0.07%)
880              20 (0.05%)
881              25 (0.06%)
882              24 (0.06%)
883              18 (0.05%)
884              26 (0.07%)
885              27 (0.07%)
886              17 (0.04%)
887              23 (0.06%)
888              24 (0.06%)
889              31 (0.08%)
890              27 (0.07%)
891              23 (0.06%)
892              21 (0.05%)
893              23 (0.06%)
894              26 (0.07%)
895              34 (0.09%)
896              28 (0.07%)
897              25 (0.06%)
898              21 (0.05%)
899              26 (0.07%)
900              33 (0.08%)
901              26 (0.07%)
902              37 (0.09%)
903              28 (0.07%)
904              20 (0.05%)
905              25 (0.06%)
906              22 (0.06%)
907              32 (0.08%)
908              22 (0.06%)
909              25 (0.06%)
910              29 (0.07%)
911              23 (0.06%)
912              20 (0.05%)
913              27 (0.07%)
914              26 (0.07%)
915              25 (0.06%)
916              29 (0.07%)
917              32 (0.08%)
918              27 (0.07%)
919              33 (0.08%)
920              26 (0.07%)
921              18 (0.05%)
922              30 (0.08%)
923              26 (0.07%)
924              39 (0.10%)
925              34 (0.09%)
926              23 (0.06%)
927              25 (0.06%)
928              27 (0.07%)
929              21 (0.05%)
930              28 (0.07%)
931              17 (0.04%)
932              28 (0.07%)
933              20 (0.05%)
934              26 (0.07%)
935              31 (0.08%)
936              32 (0.08%)
937              29 (0.07%)
938              19 (0.05%)
939              37 (0.09%)
940              30 (0.08%)
941              25 (0.06%)
942              37 (0.09%)
943              23 (0.06%)
944              22 (0.06%)
945              23 (0.06%)
946              27 (0.07%)
947              21 (0.05%)
948              17 (0.04%)
949              25 (0.06%)
950              25 (0.06%)
951              20 (0.05%)
952              28 (0.07%)
953              17 (0.04%)
954              29 (0.07%)
955              30 (0.08%)
956              27 (0.07%)
957              26 (0.07%)
958              27 (0.07%)
959              28 (0.07%)
960              22 (0.06%)
961              15 (0.04%)
962              33 (0.08%)
963              19 (0.05%)
964              33 (0.08%)
965              19 (0.05%)
966              24 (0.06%)
967              22 (0.06%)
968              29 (0.07%)
969              33 (0.08%)
970              29 (0.07%)
971              31 (0.08%)
972              25 (0.06%)
973              23 (0.06%)
974              31 (0.08%)
975              25 (0.06%)
976              24 (0.06%)
977              24 (0.06%)
978              16 (0.04%)
979              22 (0.06%)
980              31 (0.08%)
981              23 (0.06%)
982              23 (0.06%)
983              30 (0.08%)
984              25 (0.06%)
985              21 (0.05%)
986              28 (0.07%)
987              25 (0.06%)
988              20 (0.05%)
989              21 (0.05%)
990              27 (0.07%)
991              27 (0.07%)
992              34 (0.09%)
993              21 (0.05%)
994              21 (0.05%)
995              20 (0.05%)
996              26 (0.07%)
997              26 (0.07%)
998              32 (0.08%)
999              17 (0.04%)
1000           1177 (2.97%)
1100           2308 (5.82%)
1200           2018 (5.09%)
1300           1740 (4.39%)
1400           1592 (4.02%)
1500           1323 (3.34%)
1600           1137 (2.87%)
1700           1013 (2.56%)
1800            889 (2.24%)
1900            810 (2.04%)
2000            774 (1.95%)
2100            661 (1.67%)
2200            631 (1.59%)
2300            511 (1.29%)
2400            506 (1.28%)
2500            441 (1.11%)
2600            442 (1.11%)
2700            435 (1.10%)
2800            359 (0.91%)
2900            356 (0.90%)
3000            348 (0.88%)
3100            306 (0.77%)
3200            282 (0.71%)
3300            259 (0.65%)
3400            271 (0.68%)
3500            252 (0.64%)
3600            233 (0.59%)
3700            223 (0.56%)
3800            240 (0.61%)
3900            200 (0.50%)
4000            164 (0.41%)
4100            163 (0.41%)
4200            175 (0.44%)
4300            151 (0.38%)
4400            148 (0.37%)
4500            146 (0.37%)
4600            157 (0.40%)
4700            119 (0.30%)
4800            138 (0.35%)
4900            119 (0.30%)
5000            108 (0.27%)
5100            113 (0.29%)
5200            114 (0.29%)
5300            103 (0.26%)
5400            101 (0.25%)
5500            100 (0.25%)
5600             86 (0.22%)
5700             95 (0.24%)
5800             91 (0.23%)
5900             78 (0.20%)
6000             88 (0.22%)
6100             74 (0.19%)
6200             83 (0.21%)
6300             80 (0.20%)
6400             75 (0.19%)
6500             99 (0.25%)
6600             66 (0.17%)
6700             59 (0.15%)
6800             66 (0.17%)
6900             60 (0.15%)
7000             40 (0.10%)
7100             43 (0.11%)
7200             55 (0.14%)
7300             46 (0.12%)
7400             63 (0.16%)
7500             42 (0.11%)
7600             56 (0.14%)
7700             56 (0.14%)
7800             63 (0.16%)
7900             52 (0.13%)
8000             42 (0.11%)
8100             38 (0.10%)
8200             43 (0.11%)
8300             37 (0.09%)
8400             35 (0.09%)
8500             40 (0.10%)
8600             37 (0.09%)
8700             34 (0.09%)
8800             33 (0.08%)
8900             29 (0.07%)
9000             41 (0.10%)
9100             42 (0.11%)
9200             42 (0.11%)
9300             32 (0.08%)
9400             29 (0.07%)
9500             33 (0.08%)
9600             25 (0.06%)
9700             35 (0.09%)
9800             36 (0.09%)
9900             27 (0.07%)
10000            30 (0.08%)
10100            26 (0.07%)
10200            19 (0.05%)
10300            33 (0.08%)
10400            30 (0.08%)
10500            24 (0.06%)
10600            27 (0.07%)
10700            26 (0.07%)
10800            19 (0.05%)
10900            22 (0.06%)
11000            25 (0.06%)
11100            26 (0.07%)
11200            20 (0.05%)
11300            18 (0.05%)
11400            25 (0.06%)
11500            27 (0.07%)
11600            15 (0.04%)
11700            28 (0.07%)
11800            27 (0.07%)
11900            25 (0.06%)
12000            16 (0.04%)
12100            17 (0.04%)
12200            20 (0.05%)
12300            25 (0.06%)
12400            23 (0.06%)
12500            21 (0.05%)
12600             9 (0.02%)
12700            16 (0.04%)
12800            21 (0.05%)
12900            19 (0.05%)
13000            19 (0.05%)
13100            11 (0.03%)
13200             9 (0.02%)
13300            17 (0.04%)
13400            16 (0.04%)
13500             9 (0.02%)
13600            11 (0.03%)
13700            15 (0.04%)
13800            13 (0.03%)
13900            23 (0.06%)
14000            10 (0.03%)
14100             8 (0.02%)
14200             7 (0.02%)
14300            14 (0.04%)
14400            15 (0.04%)
14500             9 (0.02%)
14600             5 (0.01%)
14700            17 (0.04%)
14800            12 (0.03%)
14900            12 (0.03%)
15000            20 (0.05%)
15100             8 (0.02%)
15200            15 (0.04%)
15300             7 (0.02%)
15400            14 (0.04%)
15500             8 (0.02%)
15600             9 (0.02%)
15700            14 (0.04%)
15800             9 (0.02%)
15900             6 (0.02%)
16000             4 (0.01%)
16100            10 (0.03%)
16200            14 (0.04%)
16300            18 (0.05%)
16400             7 (0.02%)
16500             9 (0.02%)
16600            14 (0.04%)
16700            13 (0.03%)
16800            14 (0.04%)
16900            13 (0.03%)
17000             9 (0.02%)
17100            12 (0.03%)
17200             8 (0.02%)
17300            12 (0.03%)
17400             7 (0.02%)
17500             8 (0.02%)
17600            11 (0.03%)
17700             6 (0.02%)
17800             9 (0.02%)
17900            10 (0.03%)
18000            10 (0.03%)
18100             7 (0.02%)
18200            12 (0.03%)
18300             9 (0.02%)
18400            10 (0.03%)
18500             4 (0.01%)
18600            11 (0.03%)
18700             5 (0.01%)
18800            12 (0.03%)
18900             5 (0.01%)
19000             4 (0.01%)
19100             6 (0.02%)
19200             7 (0.02%)
19300             7 (0.02%)
19400             6 (0.02%)
19500             6 (0.02%)
19600             2 (0.01%)
19700             5 (0.01%)
19800             8 (0.02%)
19900             4 (0.01%)
20000             8 (0.02%)
20100             2 (0.01%)
20200             9 (0.02%)
20300             6 (0.02%)
20400             7 (0.02%)
20500             4 (0.01%)
20600             7 (0.02%)
20700            10 (0.03%)
20800             7 (0.02%)
20900             6 (0.02%)
21000             8 (0.02%)
21100             2 (0.01%)
21200             4 (0.01%)
21300             2 (0.01%)
21400             7 (0.02%)
21500             5 (0.01%)
21600             3 (0.01%)
21700             7 (0.02%)
21800             3 (0.01%)
21900             7 (0.02%)
22000             4 (0.01%)
22100             7 (0.02%)
22200             6 (0.02%)
22300            12 (0.03%)
22500             5 (0.01%)
22600             1 (0.00%)
22800             7 (0.02%)
22900             1 (0.00%)
23000             5 (0.01%)
23100             8 (0.02%)
23200             5 (0.01%)
23300             2 (0.01%)
23500             7 (0.02%)
23600             5 (0.01%)
23700             8 (0.02%)
23800             4 (0.01%)
23900             3 (0.01%)
24000             4 (0.01%)
24100             4 (0.01%)
24200             7 (0.02%)
24300             5 (0.01%)
24400             6 (0.02%)
24500             5 (0.01%)
24700             2 (0.01%)
24800             3 (0.01%)
24900             8 (0.02%)
25000             9 (0.02%)
25100             2 (0.01%)
25200             6 (0.02%)
25300             7 (0.02%)
25400             3 (0.01%)
25500             7 (0.02%)
25600             1 (0.00%)
25700             2 (0.01%)
25900             4 (0.01%)
26000             2 (0.01%)
26100             1 (0.00%)
26200             5 (0.01%)
26300             3 (0.01%)
26400             4 (0.01%)
26500             2 (0.01%)
26600             6 (0.02%)
26700             2 (0.01%)
26800             4 (0.01%)
26900             6 (0.02%)
27000             2 (0.01%)
27100             4 (0.01%)
27200             1 (0.00%)
27300             5 (0.01%)
27400             4 (0.01%)
27500             4 (0.01%)
27600             2 (0.01%)
27700             5 (0.01%)
27800             1 (0.00%)
27900             4 (0.01%)
28000             1 (0.00%)
28200             6 (0.02%)
28300             1 (0.00%)
28400             4 (0.01%)
28600             2 (0.01%)
28800             2 (0.01%)
28900             1 (0.00%)
29000             2 (0.01%)
29200             1 (0.00%)
29300             2 (0.01%)
29400             3 (0.01%)
29500             1 (0.00%)
29600             2 (0.01%)
29700             2 (0.01%)
29800             3 (0.01%)
29900             4 (0.01%)
30000             4 (0.01%)
30200             5 (0.01%)
30300             1 (0.00%)
30400             3 (0.01%)
30500             1 (0.00%)
30600             3 (0.01%)
30700             1 (0.00%)
30900             2 (0.01%)
31000             1 (0.00%)
31100             1 (0.00%)
31300             5 (0.01%)
31400             4 (0.01%)
31500             3 (0.01%)
31600             2 (0.01%)
31700             1 (0.00%)
31900             2 (0.01%)
32000             5 (0.01%)
32100             1 (0.00%)
32200             3 (0.01%)
32299             2 (0.01%)
32400             1 (0.00%)
32500             3 (0.01%)
32600             2 (0.01%)
32700             1 (0.00%)
32800             1 (0.00%)
33000             2 (0.01%)
33100             3 (0.01%)
33300             1 (0.00%)
33400             2 (0.01%)
33500             1 (0.00%)
33600             1 (0.00%)
33800             2 (0.01%)
33900             1 (0.00%)
34100             2 (0.01%)
34300             1 (0.00%)
34500             1 (0.00%)
34600             1 (0.00%)
34700             2 (0.01%)
34800             3 (0.01%)
34900             1 (0.00%)
35100             3 (0.01%)
35200             1 (0.00%)
35300             2 (0.01%)
35400             3 (0.01%)
35500             1 (0.00%)
35700             2 (0.01%)
35800             2 (0.01%)
35900             1 (0.00%)
36100             2 (0.01%)
36200             3 (0.01%)
36300             1 (0.00%)
36500             1 (0.00%)
36600             3 (0.01%)
36700             2 (0.01%)
36800             1 (0.00%)
36900             1 (0.00%)
37000             1 (0.00%)
37100             1 (0.00%)
37200             1 (0.00%)
37300             1 (0.00%)
37400             1 (0.00%)
37500             2 (0.01%)
37700             2 (0.01%)
37800             1 (0.00%)
37900             1 (0.00%)
38000             1 (0.00%)
38200             2 (0.01%)
38400             1 (0.00%)
38600             1 (0.00%)
38700             1 (0.00%)
38800             1 (0.00%)
38900             2 (0.01%)
39000             3 (0.01%)
39100             1 (0.00%)
39200             1 (0.00%)
39300             2 (0.01%)
39400             1 (0.00%)
39500             1 (0.00%)
39700             1 (0.00%)
39800             1 (0.00%)
39900             2 (0.01%)
40000             2 (0.01%)
40100             1 (0.00%)
40200             2 (0.01%)
