Dataset:     Combined Cycle Power Plant
427.84            2 (0.02%)
427.87            1 (0.01%)
427.9             1 (0.01%)
427.91            2 (0.02%)
427.94            1 (0.01%)
427.95            2 (0.02%)
427.96            1 (0.01%)
427.98            1 (0.01%)
428.0             1 (0.01%)
428.05            1 (0.01%)
428.06            1 (0.01%)
428.08            1 (0.01%)
428.1             1 (0.01%)
428.12            2 (0.02%)
428.24            1 (0.01%)
428.25            1 (0.01%)
428.26            1 (0.01%)
428.27            3 (0.03%)
428.28            1 (0.01%)
428.32            1 (0.01%)
428.34            1 (0.01%)
428.35            1 (0.01%)
428.37            2 (0.02%)
428.39            1 (0.01%)
428.41            1 (0.01%)
428.42            1 (0.01%)
428.44            3 (0.03%)
428.46            1 (0.01%)
428.48            1 (0.01%)
428.49            1 (0.01%)
428.5             1 (0.01%)
428.52            2 (0.02%)
428.54            2 (0.02%)
428.58            1 (0.01%)
428.6             2 (0.02%)
428.61            1 (0.01%)
428.62            2 (0.02%)
428.63            1 (0.01%)
428.67            3 (0.03%)
428.68            1 (0.01%)
428.69            3 (0.03%)
428.71            1 (0.01%)
428.72            3 (0.03%)
428.73            1 (0.01%)
428.74            1 (0.01%)
428.75            2 (0.02%)
428.76            1 (0.01%)
428.77            2 (0.02%)
428.79            2 (0.02%)
428.8             1 (0.01%)
428.83            2 (0.02%)
428.84            1 (0.01%)
428.85            1 (0.01%)
428.87            2 (0.02%)
428.88            2 (0.02%)
428.89            3 (0.03%)
428.9             1 (0.01%)
428.91            1 (0.01%)
428.92            1 (0.01%)
428.93            1 (0.01%)
428.94            1 (0.01%)
428.96            1 (0.01%)
428.98            1 (0.01%)
429.0             1 (0.01%)
429.01            1 (0.01%)
429.02            1 (0.01%)
429.03            1 (0.01%)
429.05            1 (0.01%)
429.06            1 (0.01%)
429.08            1 (0.01%)
429.1             1 (0.01%)
429.12            1 (0.01%)
429.13            2 (0.02%)
429.15            2 (0.02%)
429.18            2 (0.02%)
429.2             1 (0.01%)
429.21            2 (0.02%)
429.23            1 (0.01%)
429.25            3 (0.03%)
429.27            2 (0.02%)
429.28            2 (0.02%)
429.29            2 (0.02%)
429.31            3 (0.03%)
429.32            1 (0.01%)
429.33            1 (0.01%)
429.34            1 (0.01%)
429.35            1 (0.01%)
429.36            1 (0.01%)
429.38            2 (0.02%)
429.39            1 (0.01%)
429.41            3 (0.03%)
429.42            1 (0.01%)
429.46            1 (0.01%)
429.47            1 (0.01%)
429.48            2 (0.02%)
429.5             1 (0.01%)
429.52            1 (0.01%)
429.53            1 (0.01%)
429.55            1 (0.01%)
429.56            1 (0.01%)
429.57            2 (0.02%)
429.58            1 (0.01%)
429.59            1 (0.01%)
429.62            2 (0.02%)
429.64            2 (0.02%)
429.66            2 (0.02%)
429.67            1 (0.01%)
429.69            1 (0.01%)
429.7             1 (0.01%)
429.71            1 (0.01%)
429.72            1 (0.01%)
429.73            1 (0.01%)
429.74            1 (0.01%)
429.8             1 (0.01%)
429.81            1 (0.01%)
429.83            1 (0.01%)
429.84            3 (0.03%)
429.85            2 (0.02%)
429.86            2 (0.02%)
429.87            1 (0.01%)
429.91            1 (0.01%)
429.92            1 (0.01%)
429.93            1 (0.01%)
429.94            1 (0.01%)
429.95            1 (0.01%)
429.96            1 (0.01%)
429.97            2 (0.02%)
429.99            2 (0.02%)
430.0             1 (0.01%)
430.01            1 (0.01%)
430.05            1 (0.01%)
430.06            2 (0.02%)
430.07            4 (0.04%)
430.09            1 (0.01%)
430.1             1 (0.01%)
430.11            4 (0.04%)
430.12            4 (0.04%)
430.14            3 (0.03%)
430.15            2 (0.02%)
430.16            3 (0.03%)
430.17            2 (0.02%)
430.18            1 (0.01%)
430.19            2 (0.02%)
430.2             3 (0.03%)
430.21            1 (0.01%)
430.22            4 (0.04%)
430.23            2 (0.02%)
430.24            2 (0.02%)
430.26            2 (0.02%)
430.27            1 (0.01%)
430.28            2 (0.02%)
430.29            2 (0.02%)
430.3             4 (0.04%)
430.31            1 (0.01%)
430.32            5 (0.05%)
430.33            3 (0.03%)
430.34            2 (0.02%)
430.35            1 (0.01%)
430.36            2 (0.02%)
430.37            2 (0.02%)
430.38            2 (0.02%)
430.39            1 (0.01%)
430.4             1 (0.01%)
430.41            2 (0.02%)
430.42            2 (0.02%)
430.44            2 (0.02%)
430.45            4 (0.04%)
430.46            6 (0.06%)
430.47            1 (0.01%)
430.48            2 (0.02%)
430.49            1 (0.01%)
430.5             1 (0.01%)
430.51            1 (0.01%)
430.53            4 (0.04%)
430.54            3 (0.03%)
430.55            4 (0.04%)
430.56            2 (0.02%)
430.57            2 (0.02%)
430.58            2 (0.02%)
430.59            2 (0.02%)
430.6             1 (0.01%)
430.61            1 (0.01%)
430.62            3 (0.03%)
430.63            2 (0.02%)
430.64            1 (0.01%)
430.65            1 (0.01%)
430.66            2 (0.02%)
430.67            2 (0.02%)
430.68            1 (0.01%)
430.69            1 (0.01%)
430.7             2 (0.02%)
430.71            1 (0.01%)
430.72            2 (0.02%)
430.73            1 (0.01%)
430.75            2 (0.02%)
430.78            1 (0.01%)
430.79            1 (0.01%)
430.8             3 (0.03%)
430.81            3 (0.03%)
430.82            3 (0.03%)
430.83            1 (0.01%)
430.85            2 (0.02%)
430.86            2 (0.02%)
430.87            2 (0.02%)
430.88            2 (0.02%)
430.89            2 (0.02%)
430.9             2 (0.02%)
430.91            3 (0.03%)
430.92            2 (0.02%)
430.93            1 (0.01%)
430.94            1 (0.01%)
430.96            1 (0.01%)
430.98            5 (0.05%)
431.0             2 (0.02%)
431.01            2 (0.02%)
431.02            1 (0.01%)
431.03            3 (0.03%)
431.06            1 (0.01%)
431.07            2 (0.02%)
431.09            1 (0.01%)
431.1             1 (0.01%)
431.11            2 (0.02%)
431.12            2 (0.02%)
431.14            2 (0.02%)
431.15            2 (0.02%)
431.16            1 (0.01%)
431.17            1 (0.01%)
431.18            4 (0.04%)
431.19            2 (0.02%)
431.21            1 (0.01%)
431.22            1 (0.01%)
431.23            4 (0.04%)
431.24            2 (0.02%)
431.25            1 (0.01%)
431.26            5 (0.05%)
431.27            4 (0.04%)
431.28            2 (0.02%)
431.29            2 (0.02%)
431.31            2 (0.02%)
431.32            3 (0.03%)
431.33            3 (0.03%)
431.35            2 (0.02%)
431.36            2 (0.02%)
431.37            4 (0.04%)
431.38            2 (0.02%)
431.39            3 (0.03%)
431.41            1 (0.01%)
431.43            1 (0.01%)
431.44            4 (0.04%)
431.45            1 (0.01%)
431.46            1 (0.01%)
431.47            1 (0.01%)
431.48            1 (0.01%)
431.5             1 (0.01%)
431.51            1 (0.01%)
431.52            1 (0.01%)
431.53            1 (0.01%)
431.54            1 (0.01%)
431.55            1 (0.01%)
431.57            1 (0.01%)
431.58            3 (0.03%)
431.59            2 (0.02%)
431.62            1 (0.01%)
431.64            2 (0.02%)
431.65            1 (0.01%)
431.66            3 (0.03%)
431.67            1 (0.01%)
431.68            1 (0.01%)
431.69            4 (0.04%)
431.7             3 (0.03%)
431.72            3 (0.03%)
431.73            1 (0.01%)
431.74            2 (0.02%)
431.75            1 (0.01%)
431.76            2 (0.02%)
431.77            6 (0.06%)
431.78            1 (0.01%)
431.79            2 (0.02%)
431.8             1 (0.01%)
431.81            2 (0.02%)
431.82            2 (0.02%)
431.83            2 (0.02%)
431.84            2 (0.02%)
431.85            1 (0.01%)
431.86            1 (0.01%)
431.87            2 (0.02%)
431.91            1 (0.01%)
431.92            3 (0.03%)
431.93            3 (0.03%)
431.95            2 (0.02%)
431.96            4 (0.04%)
431.97            4 (0.04%)
431.99            2 (0.02%)
432.0             5 (0.05%)
432.01            1 (0.01%)
432.02            1 (0.01%)
432.03            2 (0.02%)
432.04            3 (0.03%)
432.05            3 (0.03%)
432.06            2 (0.02%)
432.07            5 (0.05%)
432.08            1 (0.01%)
432.09            1 (0.01%)
432.1             2 (0.02%)
432.11            2 (0.02%)
432.12            1 (0.01%)
432.13            3 (0.03%)
432.14            1 (0.01%)
432.17            2 (0.02%)
432.18            1 (0.01%)
432.19            3 (0.03%)
432.2             3 (0.03%)
432.21            2 (0.02%)
432.22            3 (0.03%)
432.24            1 (0.01%)
432.25            4 (0.04%)
432.26            4 (0.04%)
432.27            2 (0.02%)
432.28            2 (0.02%)
432.29            1 (0.01%)
432.3             2 (0.02%)
432.31            1 (0.01%)
432.32            1 (0.01%)
432.33            3 (0.03%)
432.34            1 (0.01%)
432.35            2 (0.02%)
432.36            1 (0.01%)
432.38            2 (0.02%)
432.39            1 (0.01%)
432.41            3 (0.03%)
432.43            4 (0.04%)
432.44            3 (0.03%)
432.45            3 (0.03%)
432.46            4 (0.04%)
432.47            2 (0.02%)
432.48            1 (0.01%)
432.49            3 (0.03%)
432.5             1 (0.01%)
432.51            4 (0.04%)
432.52            3 (0.03%)
432.53            2 (0.02%)
432.54            1 (0.01%)
432.55            1 (0.01%)
432.56            4 (0.04%)
432.57            1 (0.01%)
432.58            2 (0.02%)
432.59            3 (0.03%)
432.6             4 (0.04%)
432.61            1 (0.01%)
432.62            3 (0.03%)
432.64            3 (0.03%)
432.65            2 (0.02%)
432.66            3 (0.03%)
432.67            2 (0.02%)
432.68            2 (0.02%)
432.69            2 (0.02%)
432.7             1 (0.01%)
432.71            2 (0.02%)
432.72            2 (0.02%)
432.73            2 (0.02%)
432.74            1 (0.01%)
432.75            2 (0.02%)
432.76            1 (0.01%)
432.77            1 (0.01%)
432.78            2 (0.02%)
432.79            3 (0.03%)
432.8             1 (0.01%)
432.81            1 (0.01%)
432.82            3 (0.03%)
432.83            1 (0.01%)
432.84            3 (0.03%)
432.85            2 (0.02%)
432.87            1 (0.01%)
432.88            3 (0.03%)
432.89            2 (0.02%)
432.9             1 (0.01%)
432.91            1 (0.01%)
432.92            3 (0.03%)
432.93            4 (0.04%)
432.94            3 (0.03%)
432.95            1 (0.01%)
432.96            2 (0.02%)
432.97            1 (0.01%)
432.98            2 (0.02%)
432.99            1 (0.01%)
433.0             1 (0.01%)
433.01            3 (0.03%)
433.02            4 (0.04%)
433.03            3 (0.03%)
433.04            3 (0.03%)
433.05            1 (0.01%)
433.06            1 (0.01%)
433.07            3 (0.03%)
433.08            4 (0.04%)
433.09            1 (0.01%)
433.1             2 (0.02%)
433.11            1 (0.01%)
433.13            2 (0.02%)
433.14            2 (0.02%)
433.15            2 (0.02%)
433.16            2 (0.02%)
433.18            2 (0.02%)
433.19            2 (0.02%)
433.21            1 (0.01%)
433.23            1 (0.01%)
433.24            3 (0.03%)
433.25            5 (0.05%)
433.26            1 (0.01%)
433.27            1 (0.01%)
433.28            2 (0.02%)
433.29            3 (0.03%)
433.3             2 (0.02%)
433.31            3 (0.03%)
433.32            3 (0.03%)
433.34            5 (0.05%)
433.35            2 (0.02%)
433.36            1 (0.01%)
433.37            5 (0.05%)
433.38            1 (0.01%)
433.39            2 (0.02%)
433.4             3 (0.03%)
433.42            4 (0.04%)
433.43            3 (0.03%)
433.44            5 (0.05%)
433.45            4 (0.04%)
433.46            3 (0.03%)
433.47            4 (0.04%)
433.48            2 (0.02%)
433.49            1 (0.01%)
433.5             2 (0.02%)
433.52            1 (0.01%)
433.53            2 (0.02%)
433.54            2 (0.02%)
433.55            1 (0.01%)
433.56            2 (0.02%)
433.57            4 (0.04%)
433.58            1 (0.01%)
433.59            4 (0.04%)
433.61            2 (0.02%)
433.62            3 (0.03%)
433.63            4 (0.04%)
433.64            2 (0.02%)
433.65            1 (0.01%)
433.67            1 (0.01%)
433.69            1 (0.01%)
433.7             1 (0.01%)
433.71            4 (0.04%)
433.72            5 (0.05%)
433.73            3 (0.03%)
433.74            2 (0.02%)
433.75            3 (0.03%)
433.76            2 (0.02%)
433.77            1 (0.01%)
433.78            2 (0.02%)
433.79            1 (0.01%)
433.81            2 (0.02%)
433.82            4 (0.04%)
433.83            3 (0.03%)
433.84            2 (0.02%)
433.85            1 (0.01%)
433.86            1 (0.01%)
433.88            2 (0.02%)
433.89            3 (0.03%)
433.9             1 (0.01%)
433.91            1 (0.01%)
433.92            3 (0.03%)
433.94            3 (0.03%)
433.95            2 (0.02%)
433.96            1 (0.01%)
433.97            4 (0.04%)
433.99            2 (0.02%)
434.0             2 (0.02%)
434.01            8 (0.08%)
434.02            2 (0.02%)
434.03            3 (0.03%)
434.04            1 (0.01%)
434.05            2 (0.02%)
434.06            1 (0.01%)
434.07            1 (0.01%)
434.08            5 (0.05%)
434.09            4 (0.04%)
434.1             3 (0.03%)
434.11            4 (0.04%)
434.12            3 (0.03%)
434.13            1 (0.01%)
434.14            3 (0.03%)
434.15            3 (0.03%)
434.16            2 (0.02%)
434.17            1 (0.01%)
434.18            2 (0.02%)
434.2             2 (0.02%)
434.21            1 (0.01%)
434.22            2 (0.02%)
434.23            1 (0.01%)
434.24            3 (0.03%)
434.25            1 (0.01%)
434.26            1 (0.01%)
434.27            2 (0.02%)
434.28            1 (0.01%)
434.29            1 (0.01%)
434.3             2 (0.02%)
434.31            1 (0.01%)
434.32            1 (0.01%)
434.33            2 (0.02%)
434.34            1 (0.01%)
434.35            3 (0.03%)
434.36            1 (0.01%)
434.37            1 (0.01%)
434.38            3 (0.03%)
434.4             2 (0.02%)
434.41            2 (0.02%)
434.42            1 (0.01%)
434.43            4 (0.04%)
434.44            2 (0.02%)
434.45            4 (0.04%)
434.46            1 (0.01%)
434.47            6 (0.06%)
434.48            3 (0.03%)
434.5             3 (0.03%)
434.51            2 (0.02%)
434.52            1 (0.01%)
434.53            1 (0.01%)
434.54            3 (0.03%)
434.55            2 (0.02%)
434.56            2 (0.02%)
434.57            1 (0.01%)
434.58            1 (0.01%)
434.59            1 (0.01%)
434.6             2 (0.02%)
434.61            1 (0.01%)
434.62            2 (0.02%)
434.64            6 (0.06%)
434.65            4 (0.04%)
434.66            2 (0.02%)
434.67            4 (0.04%)
434.68            4 (0.04%)
434.7             3 (0.03%)
434.71            1 (0.01%)
434.72            1 (0.01%)
434.73            2 (0.02%)
434.74            2 (0.02%)
434.75            1 (0.01%)
434.76            2 (0.02%)
434.77            2 (0.02%)
434.78            3 (0.03%)
434.79            2 (0.02%)
434.8             1 (0.01%)
434.81            1 (0.01%)
434.82            2 (0.02%)
434.83            4 (0.04%)
434.84            1 (0.01%)
434.85            2 (0.02%)
434.86            1 (0.01%)
434.88            2 (0.02%)
434.89            2 (0.02%)
434.9             1 (0.01%)
434.91            3 (0.03%)
434.92            2 (0.02%)
434.93            2 (0.02%)
434.94            5 (0.05%)
434.95            2 (0.02%)
434.96            2 (0.02%)
434.97            2 (0.02%)
434.98            2 (0.02%)
434.99            3 (0.03%)
435.01            2 (0.02%)
435.02            5 (0.05%)
435.03            2 (0.02%)
435.04            6 (0.06%)
435.05            2 (0.02%)
435.06            3 (0.03%)
435.08            3 (0.03%)
435.09            3 (0.03%)
435.1             1 (0.01%)
435.11            1 (0.01%)
435.12            3 (0.03%)
435.13            4 (0.04%)
435.14            3 (0.03%)
435.15            1 (0.01%)
435.16            1 (0.01%)
435.17            4 (0.04%)
435.2             5 (0.05%)
435.21            5 (0.05%)
435.22            3 (0.03%)
435.23            3 (0.03%)
435.25            3 (0.03%)
435.26            1 (0.01%)
435.27            5 (0.05%)
435.28            3 (0.03%)
435.29            2 (0.02%)
435.31            2 (0.02%)
435.32            2 (0.02%)
435.33            1 (0.01%)
435.34            3 (0.03%)
435.35            1 (0.01%)
435.36            2 (0.02%)
435.38            3 (0.03%)
435.39            3 (0.03%)
435.4             2 (0.02%)
435.41            3 (0.03%)
435.42            1 (0.01%)
435.43            1 (0.01%)
435.45            3 (0.03%)
435.46            3 (0.03%)
435.47            5 (0.05%)
435.48            4 (0.04%)
435.49            1 (0.01%)
435.5             1 (0.01%)
435.51            3 (0.03%)
435.52            1 (0.01%)
435.53            2 (0.02%)
435.54            1 (0.01%)
435.56            6 (0.06%)
435.57            4 (0.04%)
435.58            3 (0.03%)
435.59            4 (0.04%)
435.6             4 (0.04%)
435.61            3 (0.03%)
435.62            2 (0.02%)
435.64            3 (0.03%)
435.65            1 (0.01%)
435.66            5 (0.05%)
435.67            2 (0.02%)
435.68            2 (0.02%)
435.69            3 (0.03%)
435.7             3 (0.03%)
435.71            3 (0.03%)
435.72            3 (0.03%)
435.73            1 (0.01%)
435.74            2 (0.02%)
435.75            6 (0.06%)
435.76            4 (0.04%)
435.77            1 (0.01%)
435.78            3 (0.03%)
435.79            3 (0.03%)
435.81            2 (0.02%)
435.82            3 (0.03%)
435.83            1 (0.01%)
435.84            4 (0.04%)
435.85            4 (0.04%)
435.86            1 (0.01%)
435.87            3 (0.03%)
435.88            1 (0.01%)
435.89            2 (0.02%)
435.9             4 (0.04%)
435.91            3 (0.03%)
435.92            1 (0.01%)
435.93            2 (0.02%)
435.94            5 (0.05%)
435.95            2 (0.02%)
435.96            2 (0.02%)
435.97            1 (0.01%)
435.98            2 (0.02%)
435.99            4 (0.04%)
436.0             2 (0.02%)
436.01            1 (0.01%)
436.02            2 (0.02%)
436.03            2 (0.02%)
436.04            2 (0.02%)
436.05            3 (0.03%)
436.06            3 (0.03%)
436.07            1 (0.01%)
436.08            2 (0.02%)
436.09            1 (0.01%)
436.1             1 (0.01%)
436.12            2 (0.02%)
436.13            1 (0.01%)
436.14            1 (0.01%)
436.15            4 (0.04%)
436.16            6 (0.06%)
436.17            4 (0.04%)
436.18            1 (0.01%)
436.19            3 (0.03%)
436.21            3 (0.03%)
436.22            1 (0.01%)
436.23            2 (0.02%)
436.24            2 (0.02%)
436.25            1 (0.01%)
436.26            3 (0.03%)
436.27            1 (0.01%)
436.28            2 (0.02%)
436.29            4 (0.04%)
436.3             4 (0.04%)
436.31            2 (0.02%)
436.32            3 (0.03%)
436.33            4 (0.04%)
436.34            1 (0.01%)
436.35            1 (0.01%)
436.36            4 (0.04%)
436.37            6 (0.06%)
436.38            1 (0.01%)
436.39            3 (0.03%)
436.4             1 (0.01%)
436.41            1 (0.01%)
436.42            5 (0.05%)
436.43            4 (0.04%)
436.44            2 (0.02%)
436.45            1 (0.01%)
436.46            3 (0.03%)
436.47            2 (0.02%)
436.48            1 (0.01%)
436.5             4 (0.04%)
436.51            3 (0.03%)
436.53            2 (0.02%)
436.54            1 (0.01%)
436.55            2 (0.02%)
436.56            2 (0.02%)
436.57            1 (0.01%)
436.58            2 (0.02%)
436.59            1 (0.01%)
436.6             3 (0.03%)
436.61            3 (0.03%)
436.62            3 (0.03%)
436.64            7 (0.07%)
436.65            2 (0.02%)
436.66            1 (0.01%)
436.67            5 (0.05%)
436.68            1 (0.01%)
436.69            4 (0.04%)
436.7             4 (0.04%)
436.71            2 (0.02%)
436.72            2 (0.02%)
436.73            1 (0.01%)
436.74            2 (0.02%)
436.75            3 (0.03%)
436.76            2 (0.02%)
436.77            3 (0.03%)
436.78            1 (0.01%)
436.79            1 (0.01%)
436.8             2 (0.02%)
436.81            1 (0.01%)
436.82            2 (0.02%)
436.83            1 (0.01%)
436.84            1 (0.01%)
436.85            2 (0.02%)
436.87            1 (0.01%)
436.88            2 (0.02%)
436.89            6 (0.06%)
436.9             1 (0.01%)
436.91            2 (0.02%)
436.92            4 (0.04%)
436.94            4 (0.04%)
436.95            4 (0.04%)
436.96            2 (0.02%)
436.97            2 (0.02%)
436.99            2 (0.02%)
437.0             2 (0.02%)
437.01            5 (0.05%)
437.02            3 (0.03%)
437.03            3 (0.03%)
437.04            2 (0.02%)
437.05            1 (0.01%)
437.06            4 (0.04%)
437.07            2 (0.02%)
437.08            1 (0.01%)
437.09            1 (0.01%)
437.1             2 (0.02%)
437.11            3 (0.03%)
437.12            1 (0.01%)
437.13            2 (0.02%)
437.14            3 (0.03%)
437.15            1 (0.01%)
437.16            2 (0.02%)
437.17            2 (0.02%)
437.18            3 (0.03%)
437.19            4 (0.04%)
437.2             2 (0.02%)
437.21            1 (0.01%)
437.22            1 (0.01%)
437.24            3 (0.03%)
437.25            1 (0.01%)
437.26            4 (0.04%)
437.27            3 (0.03%)
437.28            2 (0.02%)
437.29            2 (0.02%)
437.31            5 (0.05%)
437.32            1 (0.01%)
437.33            2 (0.02%)
437.34            1 (0.01%)
437.35            5 (0.05%)
437.37            2 (0.02%)
437.38            2 (0.02%)
437.39            3 (0.03%)
437.4             4 (0.04%)
437.41            3 (0.03%)
437.42            3 (0.03%)
437.43            2 (0.02%)
437.44            3 (0.03%)
437.45            2 (0.02%)
437.46            1 (0.01%)
437.47            4 (0.04%)
437.48            2 (0.02%)
437.49            4 (0.04%)
437.5             1 (0.01%)
437.51            2 (0.02%)
437.52            2 (0.02%)
437.53            2 (0.02%)
437.54            2 (0.02%)
437.55            7 (0.07%)
437.57            3 (0.03%)
437.58            3 (0.03%)
437.59            1 (0.01%)
437.6             2 (0.02%)
437.61            3 (0.03%)
437.62            6 (0.06%)
437.63            2 (0.02%)
437.64            1 (0.01%)
437.65            5 (0.05%)
437.67            3 (0.03%)
437.7             3 (0.03%)
437.71            1 (0.01%)
437.72            2 (0.02%)
437.73            2 (0.02%)
437.75            2 (0.02%)
437.76            5 (0.05%)
437.78            4 (0.04%)
437.79            1 (0.01%)
437.8             2 (0.02%)
437.81            5 (0.05%)
437.82            3 (0.03%)
437.83            4 (0.04%)
437.84            2 (0.02%)
437.85            4 (0.04%)
437.86            1 (0.01%)
437.87            3 (0.03%)
437.88            1 (0.01%)
437.89            1 (0.01%)
437.9             3 (0.03%)
437.91            3 (0.03%)
437.92            2 (0.02%)
437.93            4 (0.04%)
437.94            2 (0.02%)
437.95            4 (0.04%)
437.96            4 (0.04%)
437.97            2 (0.02%)
437.98            3 (0.03%)
437.99            4 (0.04%)
438.0             3 (0.03%)
438.01            4 (0.04%)
438.02            1 (0.01%)
438.03            2 (0.02%)
438.04            1 (0.01%)
438.05            1 (0.01%)
438.06            1 (0.01%)
438.08            6 (0.06%)
438.09            4 (0.04%)
438.1             3 (0.03%)
438.11            2 (0.02%)
438.12            3 (0.03%)
438.14            1 (0.01%)
438.15            3 (0.03%)
438.16            1 (0.01%)
438.17            4 (0.04%)
438.18            1 (0.01%)
438.19            2 (0.02%)
438.2             1 (0.01%)
438.21            1 (0.01%)
438.22            2 (0.02%)
438.23            3 (0.03%)
438.24            6 (0.06%)
438.25            4 (0.04%)
438.26            3 (0.03%)
438.28            4 (0.04%)
438.29            3 (0.03%)
438.31            3 (0.03%)
438.32            2 (0.02%)
438.33            3 (0.03%)
438.34            2 (0.02%)
438.35            1 (0.01%)
438.36            4 (0.04%)
438.38            2 (0.02%)
438.39            3 (0.03%)
438.4             3 (0.03%)
438.41            4 (0.04%)
438.42            6 (0.06%)
438.43            2 (0.02%)
438.44            2 (0.02%)
438.45            2 (0.02%)
438.46            3 (0.03%)
438.47            3 (0.03%)
438.48            1 (0.01%)
438.49            3 (0.03%)
438.5             7 (0.07%)
438.51            4 (0.04%)
438.52            5 (0.05%)
438.53            3 (0.03%)
438.54            3 (0.03%)
438.55            3 (0.03%)
438.56            3 (0.03%)
438.57            2 (0.02%)
438.59            3 (0.03%)
438.6             2 (0.02%)
438.61            1 (0.01%)
438.62            4 (0.04%)
438.63            2 (0.02%)
438.64            4 (0.04%)
438.65            2 (0.02%)
438.66            2 (0.02%)
438.67            4 (0.04%)
438.68            3 (0.03%)
438.69            1 (0.01%)
438.7             3 (0.03%)
438.71            3 (0.03%)
438.72            2 (0.02%)
438.73            4 (0.04%)
438.74            1 (0.01%)
438.75            2 (0.02%)
438.76            3 (0.03%)
438.77            1 (0.01%)
438.78            2 (0.02%)
438.79            3 (0.03%)
438.8             3 (0.03%)
438.81            1 (0.01%)
438.82            3 (0.03%)
438.83            2 (0.02%)
438.84            2 (0.02%)
438.85            2 (0.02%)
438.86            2 (0.02%)
438.87            2 (0.02%)
438.88            2 (0.02%)
438.89            2 (0.02%)
438.9             2 (0.02%)
438.91            2 (0.02%)
438.92            4 (0.04%)
438.93            1 (0.01%)
438.95            1 (0.01%)
438.96            2 (0.02%)
438.97            3 (0.03%)
438.99            3 (0.03%)
439.0             2 (0.02%)
439.01            4 (0.04%)
439.02            2 (0.02%)
439.03            5 (0.05%)
