Dataset:     Energy Efficiency
23.8              1 (0.13%)
23.84             1 (0.13%)
23.86             1 (0.13%)
23.87             1 (0.13%)
23.89             1 (0.13%)
23.93             2 (0.26%)
24.03             2 (0.26%)
24.04             1 (0.13%)
24.11             1 (0.13%)
24.13             1 (0.13%)
24.17             1 (0.13%)
24.23             2 (0.26%)
24.24             1 (0.13%)
24.25             1 (0.13%)
24.26             1 (0.13%)
24.28             1 (0.13%)
24.29             1 (0.13%)
24.31             1 (0.13%)
24.32             1 (0.13%)
24.33             1 (0.13%)
24.35             2 (0.26%)
24.37             1 (0.13%)
24.38             1 (0.13%)
24.4              1 (0.13%)
24.58             1 (0.13%)
24.59             1 (0.13%)
24.6              1 (0.13%)
24.63             2 (0.26%)
24.7              1 (0.13%)
24.77             2 (0.26%)
24.94             1 (0.13%)
24.96             1 (0.13%)
25.17             2 (0.26%)
25.27             1 (0.13%)
25.36             2 (0.26%)
25.37             2 (0.26%)
25.38             1 (0.13%)
25.41             1 (0.13%)
25.43             1 (0.13%)
25.48             1 (0.13%)
25.49             1 (0.13%)
25.66             1 (0.13%)
25.7              1 (0.13%)
25.74             1 (0.13%)
25.98             1 (0.13%)
26.0              1 (0.13%)
26.19             1 (0.13%)
26.28             1 (0.13%)
26.33             2 (0.26%)
26.37             1 (0.13%)
26.44             1 (0.13%)
26.45             2 (0.26%)
26.46             1 (0.13%)
26.47             1 (0.13%)
26.48             1 (0.13%)
26.84             1 (0.13%)
26.89             1 (0.13%)
26.91             1 (0.13%)
26.97             1 (0.13%)
27.02             1 (0.13%)
27.03             2 (0.26%)
27.27             1 (0.13%)
27.9              1 (0.13%)
28.01             1 (0.13%)
28.03             1 (0.13%)
28.05             2 (0.26%)
28.07             1 (0.13%)
28.09             1 (0.13%)
28.15             4 (0.52%)
28.17             1 (0.13%)
28.18             1 (0.13%)
28.31             1 (0.13%)
28.37             1 (0.13%)
28.4              2 (0.26%)
28.41             1 (0.13%)
28.42             1 (0.13%)
28.52             1 (0.13%)
28.55             1 (0.13%)
28.56             1 (0.13%)
28.57             1 (0.13%)
28.58             1 (0.13%)
28.6              1 (0.13%)
28.61             1 (0.13%)
28.62             1 (0.13%)
28.63             1 (0.13%)
28.64             2 (0.26%)
28.65             1 (0.13%)
28.66             1 (0.13%)
28.67             3 (0.39%)
28.69             1 (0.13%)
28.7              1 (0.13%)
28.75             1 (0.13%)
28.83             1 (0.13%)
28.86             1 (0.13%)
28.88             1 (0.13%)
28.91             1 (0.13%)
28.93             1 (0.13%)
28.95             1 (0.13%)
29.01             1 (0.13%)
29.02             1 (0.13%)
29.03             1 (0.13%)
29.05             1 (0.13%)
29.06             2 (0.26%)
29.07             1 (0.13%)
29.08             2 (0.26%)
29.09             1 (0.13%)
29.14             1 (0.13%)
29.22             1 (0.13%)
29.27             1 (0.13%)
29.34             1 (0.13%)
29.39             1 (0.13%)
29.4              1 (0.13%)
29.43             1 (0.13%)
29.47             2 (0.26%)
29.49             1 (0.13%)
29.5              1 (0.13%)
29.52             1 (0.13%)
29.53             1 (0.13%)
29.54             1 (0.13%)
29.6              1 (0.13%)
29.62             1 (0.13%)
29.63             1 (0.13%)
29.67             1 (0.13%)
29.68             1 (0.13%)
29.71             1 (0.13%)
29.79             1 (0.13%)
29.83             1 (0.13%)
29.87             2 (0.26%)
29.88             1 (0.13%)
29.9              1 (0.13%)
29.91             1 (0.13%)
29.92             1 (0.13%)
30.0              1 (0.13%)
30.05             1 (0.13%)
31.12             1 (0.13%)
31.28             1 (0.13%)
31.29             1 (0.13%)
31.53             1 (0.13%)
31.63             1 (0.13%)
31.64             1 (0.13%)
31.66             2 (0.26%)
31.69             1 (0.13%)
31.81             1 (0.13%)
31.84             1 (0.13%)
31.89             1 (0.13%)
32.0              1 (0.13%)
32.05             1 (0.13%)
32.06             1 (0.13%)
32.07             1 (0.13%)
32.09             1 (0.13%)
32.12             2 (0.26%)
32.13             1 (0.13%)
32.15             1 (0.13%)
32.21             3 (0.39%)
32.23             1 (0.13%)
32.24             1 (0.13%)
32.26             2 (0.26%)
32.29             1 (0.13%)
32.31             4 (0.52%)
32.33             2 (0.26%)
32.38             2 (0.26%)
32.39             1 (0.13%)
32.4              2 (0.26%)
32.41             1 (0.13%)
32.46             3 (0.39%)
32.48             1 (0.13%)
32.49             1 (0.13%)
32.52             1 (0.13%)
32.53             1 (0.13%)
32.67             2 (0.26%)
32.68             2 (0.26%)
32.69             1 (0.13%)
32.71             1 (0.13%)
32.72             2 (0.26%)
32.73             1 (0.13%)
32.74             2 (0.26%)
32.75             2 (0.26%)
32.82             2 (0.26%)
32.84             2 (0.26%)
32.85             1 (0.13%)
32.94             1 (0.13%)
32.96             1 (0.13%)
33.08             1 (0.13%)
33.09             1 (0.13%)
33.12             1 (0.13%)
33.13             1 (0.13%)
33.16             1 (0.13%)
33.21             1 (0.13%)
33.24             1 (0.13%)
33.27             2 (0.26%)
33.28             2 (0.26%)
33.48             1 (0.13%)
34.24             1 (0.13%)
34.29             1 (0.13%)
34.72             1 (0.13%)
34.95             1 (0.13%)
35.01             1 (0.13%)
35.05             1 (0.13%)
35.24             1 (0.13%)
35.4              1 (0.13%)
35.45             1 (0.13%)
35.48             2 (0.26%)
35.56             1 (0.13%)
35.64             1 (0.13%)
35.65             1 (0.13%)
35.67             1 (0.13%)
35.69             2 (0.26%)
35.73             1 (0.13%)
35.78             1 (0.13%)
35.84             1 (0.13%)
35.89             1 (0.13%)
35.94             1 (0.13%)
35.96             1 (0.13%)
35.99             1 (0.13%)
36.03             1 (0.13%)
36.06             2 (0.26%)
36.13             1 (0.13%)
36.26             1 (0.13%)
36.28             1 (0.13%)
36.43             1 (0.13%)
36.45             3 (0.39%)
36.47             1 (0.13%)
36.52             1 (0.13%)
36.57             2 (0.26%)
36.59             1 (0.13%)
36.64             1 (0.13%)
36.66             1 (0.13%)
36.7              2 (0.26%)
36.71             1 (0.13%)
36.77             1 (0.13%)
36.81             1 (0.13%)
36.86             2 (0.26%)
36.9              1 (0.13%)
36.91             1 (0.13%)
36.95             2 (0.26%)
36.96             1 (0.13%)
36.97             2 (0.26%)
37.03             1 (0.13%)
37.1              1 (0.13%)
37.12             1 (0.13%)
37.24             1 (0.13%)
37.26             1 (0.13%)
38.33             1 (0.13%)
38.35             1 (0.13%)
38.57             1 (0.13%)
38.65             1 (0.13%)
38.67             1 (0.13%)
38.82             1 (0.13%)
38.84             1 (0.13%)
38.89             1 (0.13%)
38.98             1 (0.13%)
39.01             1 (0.13%)
39.04             2 (0.26%)
39.31             1 (0.13%)
39.32             1 (0.13%)
39.68             1 (0.13%)
39.72             1 (0.13%)
39.81             1 (0.13%)
39.83             2 (0.26%)
39.84             1 (0.13%)
39.86             2 (0.26%)
39.89             1 (0.13%)
39.97             2 (0.26%)
40.0              1 (0.13%)
40.03             1 (0.13%)
40.11             1 (0.13%)
40.12             1 (0.13%)
40.15             1 (0.13%)
40.19             1 (0.13%)
40.4              1 (0.13%)
40.42             1 (0.13%)
40.43             1 (0.13%)
40.57             1 (0.13%)
40.6              1 (0.13%)
40.68             1 (0.13%)
40.71             1 (0.13%)
40.78             2 (0.26%)
40.79             1 (0.13%)
41.09             1 (0.13%)
41.26             1 (0.13%)
41.3              1 (0.13%)
41.32             1 (0.13%)
41.4              1 (0.13%)
41.64             1 (0.13%)
41.67             1 (0.13%)
41.73             1 (0.13%)
41.92             1 (0.13%)
41.96             1 (0.13%)
42.08             1 (0.13%)
42.11             1 (0.13%)
42.49             1 (0.13%)
42.5              1 (0.13%)
42.62             1 (0.13%)
42.74             1 (0.13%)
42.77             1 (0.13%)
42.96             1 (0.13%)
43.1              1 (0.13%)
